title_in_english,length_in_minutes,subtitle_in_danish,subtitle_in_portuguese,subtitle_in_german,title_in_spanish,subtitle_in_french,available_in_library,subtitle_in_italian,is_adult_product,has_next_title_in_series,title_acquisition_id,language,title,profile_name,content_type,title_in_portuguese,media_type,audible_collections,subtitle_in_spanish,ASIN,title_in_italian,ebook_read_along_support,publisher,title_in_french,title_in_german,content_delivery_type,last_title_in_series_release_date,title_in_danish,audiobook_narrator,subtitle_in_english,last_updated,marketplace,is_finished,product_name,acquisition_method,whispersync_for_voice_support,format_type,plan_tier,subtitle,ownership_type,purchase_date,ownership,authors,book_series_info
"Scythe & Sparrow","696","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-2750678-1232211","en","Scythe & Sparrow","Alex","Product","Not Available","audiobook","PENDING","Not Available","B0D7MZ68LQ","Not Available","Yes","Slowburn","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Samantha Brentmoor,Eric Nolan","The Ruinous Love Trilogy, Book 3","2025-09-02T17:06:22Z","www.audible.com","No","Scythe & Sparrow","Purchase","Yes","unabridged","AccessViaMusic","The Ruinous Love Trilogy, Book 3","Not Available","2025-02-11T22:24:35Z","Active","Brynne Weaver","asin:B0CKBKN3J5,title:The Ruinous Love Trilogy"
"Butcher & Blackbird","523","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-1683196-2000205","en","Butcher & Blackbird","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B0CK8TTLS8","Not Available","Yes","Blue Nose Publishing","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Joe Arden,Lucy Rivers","The Ruinous Love Trilogy, Book 1","2025-09-02T17:01:52Z","www.audible.com","Yes","Butcher & Blackbird","Purchase","Yes","unabridged","Not Available","The Ruinous Love Trilogy, Book 1","Not Available","2024-04-11T19:48:06Z","Active","Brynne Weaver","asin:B0CKBKN3J5,title:The Ruinous Love Trilogy"
"Daisy Jones & The Six","543","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-7960731-1651418","en","Daisy Jones & The Six","Alex","Product","Not Available","audiobook","Not Available","Not Available","1984845306","Not Available","Yes","Random House Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Jennifer Beals,Benjamin Bratt,Judy Greer,Pablo Schreiber","A Novel","2025-08-28T16:18:49Z","www.audible.com","No","Daisy Jones & The Six","Purchase","Yes","unabridged","AccessViaMusic","A Novel","Not Available","2025-08-18T20:02:47Z","Active","Taylor Jenkins Reid","Not Available"
"After the Fairy Tale","272","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","After the Fairy Tale","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B08MQT6LZB","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Ali Ahn,Teddy Hamilton,Dave Gillies,full cast","Not Available","2025-08-26T11:33:49Z","www.audible.com","Yes","After the Fairy Tale","Not Available","No","original_recording","US Minerva","Not Available","Not Available","2024-04-23T21:50:16Z","Active","Terence Gray,Erin Day,Ian Thake","Not Available"
"Dude in Distress","81","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Dude in Distress","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B08X4XBM4P","Not Available","No","Audible Studios","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Rose Dioro,Jacob Morgan","Not Available","2025-08-25T19:55:00Z","www.audible.com","No","Dude in Distress","Not Available","No","unabridged","AccessViaMusic,US Minerva","Not Available","Not Available","2024-12-03T01:24:23Z","Active","Helena Hunting","Not Available"
"The Idea of You","715","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Idea of You","Alex","Product","Not Available","audiobook","AYCL","Not Available","B07C8M8V7M","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Robinne Lee","Not Available","2025-08-25T06:12:19Z","www.audible.com","No","The Idea of You","Not Available","Yes","unabridged","AccessViaMusic,AyceRomance","Not Available","Not Available","2024-05-05T19:30:13Z","Active","Robinne Lee","Not Available"
"A Court of Thorns and Roses","967","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","A Court of Thorns and Roses","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B00WRHY15Y","Not Available","Yes","Recorded Books","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Jennifer Ikeda","Not Available","2025-08-22T09:21:11Z","www.audible.com","No","A Court of Thorns and Roses","Not Available","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2024-10-03T23:31:00Z","Active","Sarah J. Maas","asin:B01DH5QNS2,title:A Court of Thorns and Roses"
"House of Earth and Blood","1670","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-9373097-3040242","en","House of Earth and Blood","Alex","Product","Not Available","audiobook","PENDING","Not Available","B082YHZPTY","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Elizabeth Evans","Crescent City, Book 1","2025-08-22T05:58:07Z","www.audible.com","No","House of Earth and Blood","Purchase","Yes","unabridged","AccessViaMusic","Crescent City, Book 1","Not Available","2025-01-28T20:52:42Z","Active","Sarah J. Maas","asin:B0831K9XS6,title:Crescent City"
"Drop Dead","685","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Drop Dead","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0D6HCPSN6","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Phillipa Soo,John Cho","Not Available","2025-08-22T05:09:53Z","www.audible.com","No","Drop Dead","Not Available","No","original_recording","AccessViaMusic,US Minerva","Not Available","Not Available","2024-11-01T21:00:58Z","Active","Lily Chu","Not Available"
"One Last Rainy Day: The Legacy of a Prince","691","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-2627134-1059467","en","One Last Rainy Day: The Legacy of a Prince","Alex","Product","Not Available","audiobook","PENDING","Not Available","B0CCZL4CGM","Not Available","Yes","Podium Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Joe Arden,Maxine Mitchell","The Ravenhood Legacy, Book 1","2025-08-22T00:05:47Z","www.audible.com","No","One Last Rainy Day: The Legacy of a Prince","Purchase","Yes","unabridged","AccessViaMusic","The Ravenhood Legacy, Book 1","Not Available","2025-04-19T15:20:33Z","Active","Kate Stewart","asin:B0CD1VDL2W,title:The Ravenhood Legacy"
"Entwined with You","662","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-5287476-8579465","en","Entwined with You","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B00BR1TWMS","Not Available","Yes","Brilliance Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Jill Redfield","Crossfire, Book 3","2025-08-21T22:39:26Z","www.audible.com","Yes","Entwined with You","Purchase","Yes","unabridged","AyceRomance","Crossfire, Book 3","Not Available","2024-03-19T05:41:00Z","Active","Sylvia Day","asin:B009NS9ZI8,title:Crossfire Series"
"Tempt Me","477","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Tempt Me","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","1630150207","Not Available","Yes","Tantor Audio","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Avery Reid","Wolf Hotel Series, Book 1","2025-08-20T16:51:31Z","www.audible.com","Yes","Tempt Me","Not Available","Yes","unabridged","AccessViaMusic","Wolf Hotel Series, Book 1","Not Available","2024-03-16T01:24:03Z","Active","K. A. Tucker","asin:B07TBMF1K8,title:Wolf Hotel"
"Quicksilver","1241","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-6881022-8755426","en","Quicksilver","Alex","Product","Not Available","audiobook","Not Available","Not Available","B0DBJ8Y2K1","Not Available","Yes","Podium Audio","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Stella Bloom,Anthony Palmini","The Fae & Alchemy Series, Book 1","2025-08-20T15:54:33Z","www.audible.com","No","Quicksilver","Purchase","Yes","unabridged","AccessViaMusic","The Fae & Alchemy Series, Book 1","Not Available","2025-02-25T15:19:33Z","Active","Callie Hart","asin:B0DBKW5CDM,title:The Fae & Alchemy Series"
"Credence","1015","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-6799859-6931406","en","Credence","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B08ML5CZMS","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Sofia Willingham,Greg Tremblay,Carson Beck,Michael Pauley","Not Available","2025-08-20T15:26:20Z","www.audible.com","Yes","Credence","Purchase","Yes","unabridged","Not Available","Not Available","Not Available","2024-03-07T22:26:49Z","Active","Penelope Douglas","Not Available"
"The Rebound","613","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","The Rebound","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B0BSXH9WXM","Not Available","No","Audible Originals","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Claudia Jessie","The Rebound, Book 1","2025-08-20T08:07:08Z","www.audible.com","No","The Rebound","Not Available","No","unabridged","US Minerva","The Rebound, Book 1","Not Available","2024-07-23T11:29:26Z","Active","Leeanne Slade","asin:B0FN3W8XWL,title:The Rebound"
"Hudson","985","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-5145693-5846641","en","Hudson","Alex","Product","Not Available","audiobook","PURCHASE","Not Available","B00N0XCXCM","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","James Patrick Nelson","Not Available","2025-08-19T18:47:46Z","www.audible.com","No","Hudson","Purchase","Yes","unabridged","Not Available","Not Available","Not Available","2024-05-03T02:01:54Z","Active","Laurelin Paige","asin:B00KVPHGX8,title:Fixed"
"House of Flame and Shadow","1782","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-1389572-8761838","en","House of Flame and Shadow","Alex","Product","Not Available","audiobook","PENDING","Not Available","B0CGSXFQYY","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Elizabeth Evans","Crescent City, Book 3","2025-08-19T15:20:09Z","www.audible.com","No","House of Flame and Shadow","Purchase","Yes","unabridged","AccessViaMusic","Crescent City, Book 3","Not Available","2025-02-02T20:18:34Z","Active","Sarah J. Maas","asin:B0831K9XS6,title:Crescent City"
"Tower of Dawn","1359","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-1020695-6013011","en","Tower of Dawn","Alex","Product","Not Available","audiobook","PENDING","Not Available","B0759X8K2X","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Elizabeth Evans","Not Available","2025-08-19T14:59:20Z","www.audible.com","No","Tower of Dawn","Purchase","Yes","unabridged","AccessViaMusic","Not Available","Not Available","2025-01-03T19:42:46Z","Active","Sarah J. Maas","asin:B00FPW78IK,title:Throne of Glass"
"Think Outside the Boss","453","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","Not Available","en","Think Outside the Boss","Alex","Product","Not Available","audiobook","AYCL,PENDING","Not Available","B09J98P1GX","Not Available","Yes","W. F. Howes Ltd.","Not Available","Not Available","SinglePartBook","Not Available","Not Available","Ava Blair,Mercer Boffey","New York Billionaires, Book 1","2025-08-19T13:39:20Z","www.audible.com","Yes","Think Outside the Boss","Not Available","Yes","unabridged","AccessViaMusic","New York Billionaires, Book 1","Not Available","2024-04-11T07:57:58Z","Active","Olivia Hayle","asin:B09LRDRYN3,title:New York Billionaires"
"House of Sky and Breath","1662","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","No","Not Available","D01-1175284-2381052","en","House of Sky and Breath","Alex","Product","Not Available","audiobook","PENDING","Not Available","B09MZPZ1WG","Not Available","Yes","Audible Studios","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Elizabeth Evans","Crescent City, Book 2","2025-08-19T12:50:34Z","www.audible.com","No","House of Sky and Breath","Purchase","Yes","unabridged","AccessViaMusic","Crescent City, Book 2","Not Available","2025-01-31T20:41:14Z","Active","Sarah J. Maas","asin:B0831K9XS6,title:Crescent City"
"King of Wrath","725","Not Available","Not Available","Not Available","Not Available","Not Available","No","Not Available","Yes","Not Available","D01-1805751-2595445","en","King of Wrath","Alex","Product","Not Available","audiobook","PURCHASE,PENDING","Not Available","B0BZQJT6YM","Not Available","Yes","Boba Press","Not Available","Not Available","MultiPartBook","Not Available","Not Available","Jacob Morgan,Emily Woo Zeller","Kings of Sin","2025-08-14T17:45:18Z","www.audible.com","No","King of Wrath","Purchase","Yes","unabridged","Not Available","Kings of Sin","Not Available","2024-05-14T21:39:19Z","Active","Ana Huang","asin:B0C66JDQWF,title:Kings of Sin"
