"Product Name","ASIN","Author Name"
"The Perfect Fit","B0C1LJS1XX","Kincaid, Sadie"
"Duplicity: A Billionaire, Single Mom Romance (Seraph)","B0DQVGJ7ZK","Hart, Elodie"
"The Mixtape","B08LD2HT9F","Cherry, Brittainy"
"Billionaire for Sale","B0F5ZCBK52","Sarah Page"
"The Story Of Us: Carnage Book One","B00IERA5RY","Jones, Lesley"
"American Prince (New Camelot Book 2)","B01N9F5IOL","Simone, Sierra"
"The Pumpkin Spice Café: Read the viral TikTok sensation romcom series, for fans of cozy and spicy romance in 2025! (Dream Harbor Book 1)","B0BTTJWYFN","Gilmore, Laurie"
"Beautiful Disaster: A Novel","B008JMKN4Y","McGuire, Jamie"
"The Bet (The Bet Series Book 1)","B00DB7RCD2","Van Dyken, Rachel"
"One True Loves: A Novel","B0176M3XWQ","Reid, Taylor Jenkins"
"Dark Restraint (Dark Olympus Book 7)","B0CLBQGRMQ","Robert, Katee"
"All He'll Ever Be (Merciless World Series Book 1)","B07Y89DWCN","Winters, W."
"All He'll Ever Be (Merciless World Series Book 1)","B07Y89DWCN","Winters, Willow"
"Destroy Me (Shatter Me Book 1)","B0076790LA","Mafi, Tahereh"
"Restore Me (Shatter Me Book 4)","B0727NP66G","Mafi, Tahereh"
"Take Me: A Stark Ever After Novella (Stark Trilogy)","B00FO60CH6","Kenner, J."
"The Love Hypothesis","B08T6XN4FP","Hazelwood, Ali"
"Beach Read","B07XNKRV83","Henry, Emily"
"Ignite Me (Shatter Me Book 3)","B00DB2YN0C","Mafi, Tahereh"
"Hardwired: The Hacker Series #1","B00V3MY1IQ","Wild, Meredith"
"Hardpressed: The Hacker Series #2","B00V3MY1GS","Wild, Meredith"
"Release Me (The Stark Trilogy, Book 1)","B008WOTQGU","Kenner, J."
"Complete Me (The Stark Trilogy, Book 3)","B00BKK6E04","Kenner, J."
"Hold Me: A Stark Ever After Novella (1001 Dark Nights)","B01MSWC05T","Kenner, J."
"Love and Other Words","B075CRQLKG","Lauren, Christina"
"Unravel Me (Shatter Me Book 2)","B0089LOFGC","Mafi, Tahereh"
"Hard Love: The Hacker Series #5","B00W22ITCU","Wild, Meredith"
"Love, Theoretically","B0BJJTTM8K","Hazelwood, Ali"
"Beautiful Bastard","B009UVCYLS","Lauren, Christina"
"Claim Me (The Stark Trilogy, Book 2)","B00AXIZ5MC","Kenner, J."
"Say My Name: A Stark Novel (Stark International Trilogy Book 1)","B00N6PD7L0","Kenner, J."
"Under My Skin: A Stark Novel (Stark International Trilogy Book 3)","B00QE1DLIC","Kenner, J."
"On My Knees: A Stark Novel (Stark International Trilogy Book 2)","B00O6V45CS","Kenner, J."
"Damien: A Stark Novel (Stark Saga Book 6)","B07G5FTPGY","Kenner, J."
"Hello Stranger: A Novel","B0B9KVDK8P","Center, Katherine"
"Happy Place","B0B7L29TB7","Henry, Emily"
"Book Lovers","B09BTQ9HW6","Henry, Emily"
"Love on the Brain","B09PQFL2J7","Hazelwood, Ali"
"Life's Too Short (The Friend Zone Book 3)","B08F4ZSTH2","Jimenez, Abby"
"Not in Love","B0CHVBB7Y5","Hazelwood, Ali"
"The True Love Experiment","B0BF16RV53","Lauren, Christina"
"The Paradise Problem","B0CL5FS86S","Lauren, Christina"
"Wicked Beauty: A Sinfully Sweet Modern Retelling of Achilles, Patroclus, and Helen of Troy (Dark Olympus Book 3)","B09DTJF1WD","Robert, Katee"
"Cruel Seduction (Dark Olympus Book 5)","B0BHLBHG79","Robert, Katee"
"Radiant Sin: A Darkly Hot Modern Retelling of Apollo and Cassandra (Dark Olympus Book 4)","B09Z7BYZS3","Robert, Katee"
"Fangirl Down: A Novel (Big Shots Book 1)","B0C4LHVJ82","Bailey, Tessa"
"When in Rome: A Novel","B09QJM783S","Adams, Sarah"
"People We Meet on Vacation","B08FZNYQJC","Henry, Emily"
"Heidi's Guide to Four Letter Words","B07WD5D3PN","Sivec, Tara"
"Heidi's Guide to Four Letter Words","B07WD5D3PN","Arndt, Andi"
"A Touch of Chaos (Hades x Persephone Saga Book 7)","B0BTV277VT","St. Clair, Scarlett"
"Lovelight Farms","B0BVRQQJ7X","Borison, B.K."
"The Flatshare: A Novel","B07KF75BSQ","O'Leary, Beth"
"Check & Mate","B0BV5X9VB8","Hazelwood, Ali"
"The Au Pair Affair: A Novel (Big Shots Book 2)","B0CLJW5KC2","Bailey, Tessa"
"Five Brothers","B0CM5L5T6D","Douglas, Penelope"
"Dream Girl Drama: A Spicy Sports Rom-Com with an Unconventional Love Story (Big Shots Book 3)","B0D2VNCDRQ","Bailey, Tessa"
"First-Time Caller (Heartstrings Book 1)","B0D3Z2M35D","Borison, B.K."
"Goldfinch (The Plated Prisoner Series Book 6)","B0CLFB86PL","Kennedy, Raven"
"Gold (The Plated Prisoner Series Book 5)","B0B4F9G5JD","Kennedy, Raven"
"King of Envy (Kings of Sin Book 5)","B0CZV38Z7J","Huang, Ana"
"Some Kind of Perfect (Addicted Series)","B01FWXWOV2","Ritchie, Krista"
"Some Kind of Perfect (Addicted Series)","B01FWXWOV2","Ritchie, Becca"
"Rewind It Back (Windy City Series Book 5)","B0D888FZSD","Tomforde, Liz"
"Problematic Summer Romance","B0DZ3JM6XM","Hazelwood, Ali"
"The Best Wrong Move: Off-Limits, Book 1","B0F62R6JN4","Lily Parker"
"The Anatomy of Us: A Love Story","B0F5B74X83","Leah Hazard"
"Better Luck Next Time","B0DXQL2RJ5","Cara Bastone"
"Releasing 10: An Epic, Emotional, and Addictive Romance from TikTok Phenomenon! (Boys of Tommen Book 6)","B0F1Y9XH1B","Walsh, Chloe"
"Great Big Beautiful Life: Reese's Book Club","B0DGCLB3X3","Henry, Emily"
"The Way of Kings: Book One of the Stormlight Archive (The Stormlight Archive, 1)","B003P2WO5E","Sanderson, Brandon"
"The Alloy of Law: A Mistborn Novel (The Mistborn Saga Book 4)","B00540QR7Q","Sanderson, Brandon"
"Addicted to You","B00DE5EBZ8","Ritchie, Krista"
"Addicted to You","B00DE5EBZ8","Ritchie, Becca"
"Gild (The Plated Prisoner Series Book 1)","B08HJDG47W","Kennedy, Raven"
"Gleam (The Plated Prisoner Series Book 3)","B08XK8L1J7","Kennedy, Raven"
"Glint (The Plated Prisoner Series Book 2)","B08RW8MW3D","Kennedy, Raven"
"Glow (The Plated Prisoner Series Book 4)","B095G183J6","Kennedy, Raven"
"Thrive (Addicted Series)","B00LWSNUQ0","Ritchie, Krista"
"Thrive (Addicted Series)","B00LWSNUQ0","Ritchie, Becca"
"Addicted After All","B00P2RBHPS","Ritchie, Krista"
"Addicted After All","B00P2RBHPS","Ritchie, Becca"
"Fuel the Fire (Addicted Series)","B00VJSQKWY","Ritchie, Krista"
"Fuel the Fire (Addicted Series)","B00VJSQKWY","Ritchie, Becca"
"Long Way Down (Addicted Series)","B0188332MI","Ritchie, Krista"
"Long Way Down (Addicted Series)","B0188332MI","Ritchie, Becca"
"Hothouse Flower (Addicted Series)","B00JAXSEFQ","Ritchie, Krista"
"Hothouse Flower (Addicted Series)","B00JAXSEFQ","Ritchie, Becca"
"Ricochet (Addicted Series)","B00E9BE7TQ","Ritchie, Krista"
"Ricochet (Addicted Series)","B00E9BE7TQ","Ritchie, Becca"
"Addicted for Now","B00H06NGBM","Ritchie, Krista"
"Addicted for Now","B00H06NGBM","Ritchie, Becca"
"Kiss the Sky (Addicted Series)","B00HZVPHGE","Ritchie, Krista"
"Kiss the Sky (Addicted Series)","B00HZVPHGE","Ritchie, Becca"
"Washington: A Life (Pulitzer Prize Winner)","B003ZK58SQ","Chernow, Ron"
"Audacity: A Priest-Turned-Billionaire Workplace Romance (Seraph)","B0D1PC9FHN","Hart, Elodie"
"The Home-wrecker (The Goode Brothers)","B0C9KJRSX7","Cate, Sara"
"The Heartbreaker (The Goode Brothers)","B0CYM3ZDK6","Cate, Sara"
"Fragile Sanctuary (Sparrow Falls Book 1)","B0CR1N7YGX","Cowles, Catherine"
"Kiss The Villain: A Dark MM Enemies to Lovers Romance","B0DJT283QQ","Kent, Rina"
"Bittersweet Melody : (The Bittersweet Symphony Duet 2.5)","B0BVRT9TRJ","Stewart , Kate "
"Tryst Six Venom","B09418JQMK","Douglas, Penelope"
"Reverse (The Bittersweet Symphony Duet Book 2)","B0B6SZZDTP","Stewart , Kate "
"Drive (The Bittersweet Symphony Duet Book 1)","B076G47245","Stewart, Kate"
"Bridesmaid by Chance","B0DCTZPG8V","Quinn, Meghan"
"The Dream Guy Next Door","B08MB531QL","Lauren Blakely"
"Love, Rebooted","B0F1NHK4T7","Katy Summers"
"One Last Rainy Day: The Legacy of a Prince: The Ravenhood Legacy, Book 1","B0CCZYXD2T","Kate Stewart"
"Play With Me (Playing For Keeps Book 2)","B0B6PRL9H5","Mack, Becka"
"Unravel Me (Playing For Keeps Book 3)","B0CD2RWNVL","Mack, Becka"
"Fall With Me (Playing For Keeps Book 4)","B0CVLJ8816","Mack, Becka"
"One Last Rainy Day (Ravenhood Legacy Book 1)","B0D9CC3C9Y","Stewart, Kate"
"Nocticadia","B0C3426KGW","Lake, Keri"
"Does It Hurt?: An Enemies to Lovers Romance","B09PKTYKGZ","Carlton, H. D."
"THAT SIK LUV","B0BSYJCFHD","Hall, Jescie"
"Beautiful Fiend: A Dark Enemies to Lovers Romance (North Shore Stories Book 1)","B0BYB6DXBY","King, Lola"
"A Dose of Pretty Poison: A Brother's Best Friend Romance (Pretty Poison Trilogy Book 1)","B0BVV2TLZD","Clayton, Kelsey"
"Lords of Pain (Dark College Bully Romance): Royals of Forsyth University","B08W3RYS26","Lawson, Angel"
"Lords of Pain (Dark College Bully Romance): Royals of Forsyth University","B08W3RYS26","Rue, Samantha"
"Bound by Honor (Born in Blood Mafia Chronicles Book 1)","B00PUS8AEK","Reilly, Cora"
"War of Her Heart","B0DJWGHHX3","Hodges, Lexi"
"Kingmakers: Year One","B08R9PX3ZL","Lark, Sophie"
"There Are No Saints (Sinners Duet Book 1)","B09GCC6Y5M","Lark, Sophie"
"The Charlie Method (Campus Diaries Book 3)","B0CWZ83PGD","Kennedy, Elle"
"Quicksilver (Fae & Alchemy Book 1)","B0DDKHNVWF","Hart, Callie"
"Consider Me (Playing For Keeps Book 1)","B09QK389GG","Mack, Becka"
"The Fall Risk: A Short Story","B0DS2VTD7Y","Abby Jimenez"
"The Fall Risk: A Short Story","B0DD7X5V3V","Jimenez, Abby"
"Shoot Your Shot: A Fun and Flirty Hockey Romance Between an Athlete and Aspiring Tattoo Artist","B0D46PR72D","LaFleur Brown, Lexi"
"Ice Mechanic: A Small-Town Hockey Romance (Lucky Strikers Hockey Romance)","B0DPLWFDWY","Bevans, Lia"
"Fake Around and Find Out: An Enemies-to-lovers Fake Relationship Grumpy Sunshine romance. (Happy Haven Book 1)","B0CBHXCKPS","Shade, S.M."
"Anger Banger: An Enemies-to-lovers Grumpy Sunshine Romance (Happy Haven Book 2)","B0CDJPKT7K","Shade, S.M."
"Unite Me (Shatter Me)","0062327968","Mafi, Tahereh"
"Shatter Me","0062085484","Mafi, Tahereh"
"The Pucking Wrong Number: A Hockey Romance (The Pucking Wrong Series Book 1)","B0BYWR9N4G","Jane, C.R."
"The Pucking Wrong Guy: A Hockey Romance (The Pucking Wrong Series Book 2)","B0C5K4RCNR","Jane, C.R. "
"The Pucking Wrong Date: A Hockey Romance (The Pucking Wrong Series Book 3)","B0CJDMBYCT","Jane, C.R."
"Iron Flame (The Empyrean Book 2)","B0C4JMJBNX","Yarros, Rebecca"
"Consider Me: Playing for Keeps, Book 1","B0B98WZ1CJ","Becka Mack"
"Fourth Wing (The Empyrean Book 1)","B0BGDM197Q","Yarros, Rebecca"
"Wild Eyes","B0CXR6ZHLS","Silver, Elsie"
"The Dixon Rule (Campus Diaries Book 2)","B0CLGW57HP","Kennedy, Elle"
"The Graham Effect (Campus Diaries Book 1)","B0BYKSTDNB","Kennedy, Elle"
"Part of Your World","B09BN2WNPP","Jimenez, Abby"
"Noire Moon: A Prologue Novella (Port Macabre)","B0D3QGCCBD","Rose, Elliott"
"The Friend Zone","B07K6G7QBR","Jimenez, Abby"
"Ignite Me (Shatter Me Book 3)","B07H56SK9J","Mafi, Tahereh"
"Unravel Me (Shatter Me Book 2)","B07H53MXL7","Mafi, Tahereh"
"Quicksilver: The Fae & Alchemy Series, Book 1","B0DBJBFHGT","Callie Hart"
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages (The Mistborn Saga)","B004H1TQBW","Sanderson, Brandon"
"Wild Love (Rose Hill Book 1)","B0CKMFZN5Z","Silver, Elsie"
"The Wingman: a relationship coach hockey romance (Vancouver Storm Book 3)","B0DD357DWQ","Archer, Stephanie"
"The Fake Out: a fake dating hockey romance (Vancouver Storm Book 2)","B0CNSGXRN9","Archer, Stephanie"
"Vengeful Gods (Port Macabre)","B0CPHZP6S9","Rose, Elliott"
"Behind the Net: a grumpy sunshine hockey romance (Vancouver Storm Book 1)","B0C85RV9VG","Archer, Stephanie"
"Wild Eyes","B0D98Q4F5C","Elsie Silver"
"Flawless: A Small Town Enemies to Lovers Romance","B09VV2CR51","Silver, Elsie"
"Reckless","B0BTZQ7TGP","Silver, Elsie"
"Powerless: A Small Town Friends to Lovers Romance","B0BHV6ZHT1","Silver, Elsie"
"Heartless: A Small Town Single Dad Romance","B0B4KR2X87","Silver, Elsie"
"Hopeless","B0C7B3DFJZ","Silver, Elsie"
"Deep End","B0D3C17M1Z","Hazelwood, Ali"
"Scythe & Sparrow: The Ruinous Love Trilogy","B0D7NN1P97","Weaver, Brynne"
"Scythe & Sparrow: The Ruinous Love Trilogy, Book 3","B0D7MYFB42","Brynne Weaver"
"Unstitch (Alchemy Book 5)","B0CKBX1G7X","Hart, Elodie"
"Unveil: A Hot Age Gap, Billionaire Romance (Alchemy Book 3)","B0C3B5MXTS","Hart, Elodie"
"Untether (Alchemy Book 4)","B0CFYJWMTR","Hart, Elodie"
"Unbind (Alchemy Book 6)","B0CTCQ6MM4","Hart, Elodie"
"Always Alchemy: The Ever After Book","B0CTCQDVJL","Hart, Elodie"
"Temptation (The Hunted Series Book 1)","B00VVG6LMI","Smoak, Ivy"
"Addiction (The Hunted Series Book 2)","B017T5CJWA","Smoak, Ivy"
"Misdirected","B0DPQ62DJF","Lucy Parker"
"Always a Bridesmaid","B0DTLXHDZ2","Erin Clark"
"Always a Bridesmaid","B0DTLXHDZ2","Laura Lovely"
"House of Flame and Shadow: Crescent City, Book 3","B0CGSGXB8Y","Sarah J. Maas"
"House of Sky and Breath: Crescent City, Book 2","B09MZNTZ54","Sarah J. Maas"
"House of Earth and Blood: Crescent City, Book 1","B082YHJS14","Sarah J. Maas"
"Onyx Storm (The Empyrean Book 3)","B0CW1FKFB9","Yarros, Rebecca"
"Reframing the Path to School Leadership: A Guide for Teachers and Principals","B07HQQWJ9Q","Bolman, Lee G."
"Reframing the Path to School Leadership: A Guide for Teachers and Principals","B07HQQWJ9Q","Deal, Terrence E."
"Unfurl: A Hot Age Gap Romance (Alchemy Book 1)","B0BSNRZSRF","Hart, Elodie"
"Undulate: A Hot Age Gap, Single Dad Romance (Alchemy Book 2)","B0BXXH97JF","Hart, Elodie"
"Play Along (Windy City Series Book 4)","B0CKH896T8","Tomforde, Liz "
"Just for the Summer","B0CDWHN8FK","Jimenez, Abby"
"Swallow Your Pride: A Forbidden Age Gap Romance (The Carlson Brothers)","B0C3SNCRXM","Blue, Sarah"
"Mile High (Windy City Series Book 1)","B09X4PVC6F","Tomforde, Liz "
"The Right Move (Windy City Series Book 2)","B0B2L6CBXQ","Tomforde, Liz"
"Caught Up (Windy City Book 3) (Windy City Series)","B0CKRXNDCF","Tomforde, Liz "
"Funny Story","B0CCNBRNRQ","Henry, Emily"
"Variation: A Novel","B0D1LJ5DG6","Rebecca Yarros"
"Variation: A Novel","B0CZ9VJV5F","Yarros, Rebecca"
"Saving 6 (Boys of Tommen Book 3)","B0C453T7BV","Walsh, Chloe"
"Redeeming 6 (Boys of Tommen Book 4)","B0C451CF7Z","Walsh, Chloe"
"Highest Bidder","B0872K48RW","Landish, Lauren"
"Highest Bidder","B0872K48RW","Winters, Willow"
"Theirs for the Night: (A MMF Romance) (Twisted Hearts)","B07DJPWWZT","Robert, Katee"
"Forever Theirs: (A MMF Romance) (Twisted Hearts Book 1)","B07DP7HT14","Robert, Katee"
"Trick Shot: A Spicy Christmas Novella (Brother Puckers Book 1)","B0CK55PS1P","Grosse, Kayla "
"Butterfly: A dark college hockey romance (Tabb U Book 1)","B0D2PFVNXV","Brenner, Jo"
"Bound (Highest Bidder Book 5)","B0BNQV7L3T","Landish, Lauren"
"Bound (Highest Bidder Book 5)","B0BNQV7L3T","Winters, Willow"
"Kingdom of Ash","B07J66Q8BM","Sarah J. Maas"
"House of Sky and Breath (Crescent City)","B093WB84G1","Maas, Sarah J."
"House of Earth and Blood (Crescent City Book 1)","B07QBC8QTP","Maas, Sarah J."
"House of Flame and Shadow (Crescent City)","B0BY9M2C4X","Maas, Sarah J."
"Tower of Dawn","B0759XMXLV","Sarah J. Maas"
"Empire of Storms","B01KIQV5EU","Sarah J. Maas"
"Cruel Winter with You: Under the Mistletoe Collection","B0DKK242GB","Ali Hazelwood"
"Merry Ever After: Under the Mistletoe Collection","B0DKK3382L","Tessa Bailey"
"Merriment and Mayhem: Under the Mistletoe Collection","B0DKK47K33","Alexandria Bellefleur"
"Only Santas in the Building: Under the Mistletoe Collection","B0DKK2X9ZX","Alexis Daria"
"All by My Elf: Under the Mistletoe Collection","B0DKK2KLKW","Olivia Dade"
"Cruel Winter with You (Under the Mistletoe collection)","B0D9KNVB11","Hazelwood, Ali"
"Merry Ever After (Under the Mistletoe collection)","B0D9KL14L4","Bailey, Tessa"
"All by My Elf (Under the Mistletoe collection)","B0D9KJMVRB","Dade, Olivia"
"Merriment and Mayhem (Under the Mistletoe collection)","B0DH8KCRSL","Bellefleur, Alexandria"
"Only Santas in the Building (Under the Mistletoe collection)","B0DFCV9VB4","Daria, Alexis"
"Season's Schemings: A Holiday Hockey Rom Com (Cyclones Christmas Book 1)","B0CN25HCG7","Bailey, Katie"
"Holiday Hostilities : A Festive Hockey Rom Com (Cyclones Christmas Book 2)","B0DJM93XSS","Bailey, Katie "
"A Worthy Opponent (Wicked Villains Book 3)","B07X8Z1QSQ","Robert, Katee"
