"Date Added","Product Name","ASIN","Downloaded","Deleted","Delete By","Date Deleted","Public","Streamed","Preorder","Downloads","Date First Downloaded","Order Number","Origin Type"
"2024-12-31","Empire of Storms (Unabridged)","B01KIQVHL6","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-12-31","D01-6027194-9446606","Purchase"
"2024-12-29","Queen of Shadows (Unabridged)","B012BTUEVC","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-12-29","D01-0044678-8707429","Purchase"
"2024-12-09","Variation: A Novel (Unabridged)","B0D1L1G3VN","Yes","Yes","Audible","2025-01-13","Not Available","Not Available","No","2","2024-12-10","Not Available","KindleUnlimited"
"2024-12-09","Only Santas in the Building: Under the Mistletoe Collection (Unabridged)","B0DKK1YW7J","Yes","Yes","Audible","2024-12-31","Not Available","Not Available","No","1","2024-12-10","Not Available","KindleUnlimited"
"2024-12-09","Merriment and Mayhem: Under the Mistletoe Collection (Unabridged)","B0DKK2W3RK","Yes","Yes","Audible","2024-12-31","Not Available","Not Available","No","1","2024-12-10","Not Available","KindleUnlimited"
"2024-12-09","All by My Elf: Under the Mistletoe Collection (Unabridged)","B0DKK34V4N","Yes","Yes","Audible","2024-12-31","Not Available","Not Available","No","1","2024-12-10","Not Available","KindleUnlimited"
"2024-12-09","Merry Ever After: Under the Mistletoe Collection (Unabridged)","B0DKK2615L","Yes","Yes","Audible","2024-12-31","Not Available","Not Available","No","1","2024-12-10","Not Available","KindleUnlimited"
"2024-12-09","Cruel Winter with You: Under the Mistletoe Collection (Unabridged)","B0DKK33QST","Yes","Yes","Audible","2024-12-31","Not Available","Not Available","No","2","2024-12-09","Not Available","KindleUnlimited"
"2024-12-08","The Words (Unabridged)","B09ZVK42N4","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-12-08","D01-2930424-2809854","Purchase"
"2024-12-06","The Chase (Unabridged)","B07P7WSW79","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-12-06","D01-5019390-2502618","Purchase"
"2024-12-03","Hawke (Unabridged)","B0CQQ7H29X","Yes","No","Not Available","Not Available","Not Available","Not Available","No","5","2024-12-03","D01-0743402-6112238","Purchase"
"2024-12-01","Lights Out: An Into Darkness Novel (Unabridged)","B0D7WG8WD1","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-12-01","D01-8138528-1968217","Purchase"
"2024-09-24","My Rules: Kingston Lane, Book 2 (Unabridged)","B0DBN85FM3","Yes","Yes","Audible","2024-09-27","Not Available","Not Available","No","1","2024-09-25","Not Available","KindleUnlimited"
"2024-09-24","My Temptation: Kingston Lane, Book 1 (Unabridged)","B0C6YKDDK2","Yes","Yes","Audible","2024-09-27","Not Available","Not Available","No","2","2024-09-24","Not Available","KindleUnlimited"
"2024-09-20","Mr. Hook-up: Hooked, Book 1 (Unabridged)","B0C6YKN5DV","Yes","Yes","Audible","2024-09-27","Not Available","Not Available","No","14","2024-09-20","Not Available","KindleUnlimited"
"2024-07-13","A Game of Gods: Hades Saga, Book 3 (Unabridged)","B0C4LXH2V5","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-07-13","D01-2325819-1709016","Purchase"
"2024-07-06","Leather & Lark: The Ruinous Love, Book 2 (Unabridged)","B0CQTGW5SS","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-07-06","D01-6476205-2013027","Purchase"
"2024-05-17","King of Sloth: Kings of Sin, Book 4 (Unabridged)","B0D26ZKHPC","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-05-17","D01-7539734-3283464","Purchase"
"2024-05-17","King of Greed: Kings of Sin, Book 3 (Unabridged)","B0CM6QNNBX","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-05-17","D01-0084439-9933014","Purchase"
"2024-05-16","King of Pride: Kings of Sin, Book 2 (Unabridged)","B0C7CZ4LJW","Yes","No","Not Available","Not Available","Not Available","Not Available","No","3","2024-05-16","D01-2672992-9302633","Purchase"
"2024-05-14","King of Wrath : Kings of Sin (Unabridged)","B0BZQJT6YM","Yes","No","Not Available","Not Available","Not Available","Not Available","No","3","2024-05-14","D01-1805751-2595445","Purchase"
"2024-05-03","Hudson (Unabridged)","B00N0XCXCM","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-05-03","D01-5145693-5846641","Purchase"
"2024-05-02","Forever with You (Unabridged)","B00JG5WZ76","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-05-02","D01-9533809-6867416","Purchase"
"2024-05-01","Found in You (Unabridged)","B00JG4DA9Y","Yes","No","Not Available","Not Available","Not Available","Not Available","No","3","2024-05-01","D01-8011234-4950647","Purchase"
"2024-04-30","Fixed on You (Unabridged)","B00J2ZLLKM","Yes","No","Not Available","Not Available","Not Available","Not Available","No","4","2024-04-30","D01-0154750-8592265","Purchase"
"2024-04-18","My Dark Romeo: Dark Prince Road, Book 1 (Unabridged)","B0BY3CD2VH","Yes","No","Not Available","Not Available","Not Available","Not Available","No","7","2024-04-18","D01-8763353-3981064","Purchase"
"2024-04-11","Butcher & Blackbird: The Ruinous Love Trilogy, Book 1 (Unabridged)","B0CK8TTLS8","Yes","No","Not Available","Not Available","Not Available","Not Available","No","7","2024-04-11","D01-1683196-2000205","Purchase"
"2024-03-29","Burn for You: Slow Burn, Book 1 (Unabridged)","B075VCGDC3","Yes","Yes","Audible","2024-12-06","Not Available","Not Available","No","3","2024-03-29","Not Available","KindleUnlimited"
"2024-03-27","The Do-Over: The Miles High Club, Book 4 (Unabridged)","B0B723894M","Yes","Yes","Audible","2024-03-29","Not Available","Not Available","No","4","2024-03-27","Not Available","KindleUnlimited"
"2024-03-26","The Casanova: The Miles High Club, Book 3 (Unabridged)","1713614766","Yes","Yes","Audible","2024-04-18","Not Available","Not Available","No","3","2024-03-26","Not Available","KindleUnlimited"
"2024-03-21","One with You: Crossfire, Book 5 (Unabridged)","B01D3ERCKA","Yes","No","Not Available","Not Available","Not Available","Not Available","No","3","2024-03-21","D01-7402119-6157018","Purchase"
"2024-03-20","Captivated by You: Crossfire, Book 4 (Unabridged)","B00OL7ONK6","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-03-20","D01-0642754-1760268","Purchase"
"2024-03-19","Entwined with You: Crossfire, Book 3 (Unabridged)","B00BR1TWMS","Yes","No","Not Available","Not Available","Not Available","Not Available","No","2","2024-03-19","D01-5287476-8579465","Purchase"
"2024-03-18","Reflected in You: A Crossfire Novel, Book 2 (Unabridged)","B009M8YHCI","Yes","No","Not Available","Not Available","Not Available","Not Available","No","3","2024-03-18","D01-6842494-5894654","Purchase"
"2024-03-11","Drop, Cover, and Hold On: The Improbable Meet-Cute Collection (Unabridged)","B0CRVYD6KZ","No","Yes","Audible","2024-03-22","Not Available","Not Available","No","0","Not Available","Not Available","KindleUnlimited"
"2024-03-11","Royal Valentine: The Improbable Meet-Cute Collection (Unabridged)","B0CRVY153B","No","Yes","Audible","2024-03-22","Not Available","Not Available","No","0","Not Available","Not Available","KindleUnlimited"
"2024-03-11","With Any Luck: The Improbable Meet-Cute Collection (Unabridged)","B0CRVYQJS2","No","Yes","Audible","2024-03-22","Not Available","Not Available","No","0","Not Available","Not Available","KindleUnlimited"
"2024-03-11","Worst Wingman Ever: The Improbable Meet-Cute Collection (Unabridged)","B0CRVYCCZ2","Yes","Yes","Audible","2024-03-11","Not Available","Not Available","No","1","2024-03-11","Not Available","KindleUnlimited"
"2024-03-11","Rosie and the Dreamboat: The Improbable Meet-Cute Collection (Unabridged)","B0CRVY7QFH","Yes","Yes","Audible","2024-03-15","Not Available","Not Available","No","1","2024-03-11","Not Available","KindleUnlimited"
"2024-03-11","Same Time Next Year: A Novella (Unabridged)","B0CMKD88KV","Yes","Yes","Audible","2024-03-23","Not Available","Not Available","No","2","2024-03-22","Not Available","KindleUnlimited"
"2024-03-11","The Marriage Auction: Book One: The Marriage Auction, Book 1 (Unabridged)","B0BR8HRN66","Yes","Yes","Audible","2024-04-18","Not Available","Not Available","No","3","2024-03-14","Not Available","KindleUnlimited"
"2024-03-10","The Takeover: The Miles High Club, Book 2 (Unabridged)","1799759121","Yes","Yes","Audible","2024-03-26","Not Available","Not Available","No","1","2024-03-23","Not Available","KindleUnlimited"
"2024-03-07","Credence (Unabridged)","B08ML5CZMS","Yes","No","Not Available","Not Available","Not Available","Not Available","No","1","2024-03-07","D01-6799859-6931406","Purchase"
"2024-03-04","The Stopover: The Miles High Club, Book 1 (Unabridged)","1799748928","Yes","Yes","Audible","2024-04-18","Not Available","Not Available","No","4","2024-03-05","Not Available","KindleUnlimited"
"2024-03-01","Twisted Hate: Twisted, Book 3 (Unabridged)","B0B6GRLKR1","Yes","No","Not Available","Not Available","Not Available","Not Available","No","3","2024-03-01","D01-6920865-6870621","Purchase"
"2024-02-24","The Exception to the Rule: The Improbable Meet-Cute Collection (Unabridged)","B0CRVYF4CJ","Yes","Yes","Audible","2024-03-13","Not Available","Not Available","No","1","2024-03-11","Not Available","Prime"
"2023-10-09","Killers of the Flower Moon: The Osage Murders and the Birth of the FBI (Unabridged)","B01NAEEJJV","Yes","No","Not Available","Not Available","Not Available","Not Available","No","1","2023-10-09","D01-9262251-1949017","Purchase"
