Recommended Book,Marketplace
"Normal People: A Novel",www.amazon.com
"Keep This Off the Record (Much Ado About Love Book 1)",www.amazon.com
"After I Do: A Novel",www.amazon.com
"My Dark Prince: An Enemies-to-Lovers Romance (Dark Prince Road)",www.amazon.com
"The Quiet Librarian: A Novel",www.amazon.com
"The Strike Out: An Unexpected Pregnancy Standalone",www.amazon.com
"Perfect Boy (The Puck Boys of Brooks University Book 6)",www.amazon.com
"The Time Traveler's Wife",www.amazon.com
"For Now, Not Forever (Rival Love Book 2)",www.amazon.com
"Big Little Lies",www.amazon.com
"If I Die Tonight: A Novel",www.amazon.com
"The Secrets You Keep: A Dark MFM Romance",www.amazon.com
"HEAVY: A Dark Taboo Romance (Neighbors of Sapphire Valley Book 1)",www.amazon.com
"The Quarry Girls: A Thriller",www.amazon.com
"Games Untold (The Inheritance Games)",www.amazon.com
"Night of a Thousand Darlas: A Novel",www.amazon.com
"Dating You / Hating You",www.amazon.com
"By Any Other Name",www.amazon.com
"Playmaker: A Moo U Hockey Romance",www.amazon.com
"The Game Plan: A Forbidden Football Romance of a Virgin Hero and His Best Friend's Irresistible Sister-in-Law (Game On Book 3)",www.amazon.com
"Runaway Groomsman",www.amazon.com
"Baby For The Off Limits Boss Daddy: An Enemies to Lovers Romance (The Hawthorns)",www.amazon.com
"Make Your Save: A Single Dad Hockey Romance (Aston Archers Hockey Book 3)",www.amazon.com
"Midnight Sun (The Twilight Saga)",www.amazon.com
"One Moment Please: A Surprise Pregnancy Standalone",www.amazon.com
"Hitting the Wall: A Stonecut County Romance",www.amazon.com
"Something Real",www.amazon.com
"The Virgin Rule Book: A Brother's Best Friend Standalone Sports Romance (Rules of Love Book 1)",www.amazon.com
"The Story Of Carnage: The Complete Carnage Collection: Books 1-5",www.amazon.com
"Psychotic Obsession (The Edge of Darkness Trilogy)",www.amazon.com
"Magnolia Parks: Book 1 (Original Cover Collection)",www.amazon.com
"Play Along: Special Edition",www.amazon.com
"Loving A Vampire Is Total Chaos: A Paranormal Dark Rom-Com",www.amazon.com
"Overtime: A Moo U Hockey Romance",www.amazon.com
"One Baby Daddy (Dating by Numbers Book 3)",www.amazon.com
"Buckled in Barbwire: An Enemies to Lovers Small Town Standalone (Cloverleaf Meadows)",www.amazon.com
"Boys Who Hunt (Spine Ridge University)",www.amazon.com
"Fall to Pieces: Broken #2 (The Broken Series)",www.amazon.com
"Hush Hush",www.amazon.com
"Roomies",www.amazon.com
"Well Played: The addictive and feel-good Willow Creek TikTok romance",www.amazon.com
"One Day: A Novel (Vintage Contemporaries)",www.amazon.com
"Breathe Me: Breathe Me Duet",www.amazon.com
"The Wrong Game: A Sports Romance",www.amazon.com
"Finale (The Hush, Hush Saga Book 4)",www.amazon.com
"The Tourist Attraction: An Alaskan, small-town grumpy/sunshine romance",www.amazon.com
"Hold On Tight (Sea Breeze Book 8)",www.amazon.com
"Bratva Menace (Bratva Series Book 5)",www.amazon.com
"I Hate You More",www.amazon.com
"Earn Your Extra Credit",www.amazon.com
"The Rachel Incident: A Novel",www.amazon.com
"The Moon and More",www.amazon.com
"Read Between the Lines: A gorgeously romantic and uplifting bookish forced proximity romance novel to escape with in 2025",www.amazon.com
"Seven Year Itch: A Steamy Small-Town Rivals-to-Lovers Romance Filled with Witty Banter and Unlikely Romance at a Destination Wedding (Mountain Men Matchmaker Book 2)",www.amazon.com
"Ruled Out (Seattle Scorpions Series Book 4)",www.amazon.com
"Irish",www.amazon.com
"Still Beating",www.amazon.com
"Love Me For A Reason: An uplifting and hilarious opposites attract romance (Small Town Summer Romances Book 2)",www.amazon.com
"Ruining Her: A Dark Second Chance Romance (McKinley's Obsession Duet Book 1)",www.amazon.com
"The Proposal Play (Love and Hockey Book 3)",www.amazon.com
"Carrie Soto Is Back: A Novel",www.amazon.com
"Boarded Hearts: A reformed playboy and single mom hockey romance (Seattle Scorpions Series Book 1)",www.amazon.com
"The Art of Scandal",www.amazon.com
"Claiming Carter: A Forbidden Relationship Sports Romance (Waverly Wildcats Book 1)",www.amazon.com
"Silence (The Hush, Hush Saga Book 3)",www.amazon.com
"Breaking Rules: A Forbidden Love Sports Romance",www.amazon.com
"Taming the Heart (Crimson Ridge Book 3)",www.amazon.com
"The Proposal: Reese's Book Club (The Wedding Date 2)",www.amazon.com
"The Play (Briar U Book 3)",www.amazon.com
"Endgame: Ocean Bay #1",www.amazon.com
"Plays Well With Others: A Fake Dating Sports Romance (How to Date Book 2)",www.amazon.com
"Play It Off (Kings of Campus)",www.amazon.com
"Rookie Season (Hockey Boys of Loft 3B Book 1)",www.amazon.com
"The Summer I Fell for My Best Friend: A Sweet, Heart-Felt Summer Romance (Legacy Inn)",www.amazon.com
"Royal Holiday (The Wedding Date Book 4)",www.amazon.com
"Atmosphere",www.amazon.com
"Aced: A bad boy/good girl, damaged alpha, racing romance (Driven)",www.amazon.com
"Fangirl (Edición Especial)",www.amazon.com
"Just Like Heaven: A Dark Forbidden Romance (The Star-Crossed Series, Book 1)",www.amazon.com
"Until the End (Sea Breeze Book 9)",www.amazon.com
"Before Now",www.amazon.com
"From Here to Eternity (Moonlit Ridge Book 1)",www.amazon.com
"Crazy Rich Asians (Crazy Rich Asians Trilogy Book 1)",www.amazon.com
"Make Your Change: A Secret Child Hockey Romance (Aston Archers Hockey Book 4)",www.amazon.com
"Bright Young Women: A Novel",www.amazon.com
"Flirting with Forever: A Hot Romantic Comedy (Dirty Martini Running Club Book 4)",www.amazon.com
"The Simple Wild: A Novel",www.amazon.com
"The Summer I Fell for a Billionaire: A Sweet, Funny YA Romance (Legacy Inn Book 3)",www.amazon.com
"Demon Copperhead: A Pulitzer Prize Winner",www.amazon.com
"The Keeper (Playing To Win)",www.amazon.com
"Breathe",www.amazon.com
"Twilight (20th Anniversary Edition) (The Twilight Saga, 1)",www.amazon.com
"Save Me (The Wolf Hotel Mermaid Beach Book 2)",www.amazon.com
"Dear Reader (Deluxe Edition) (Devil's Backbone, 1)",www.amazon.com
"Ready Player One",www.amazon.com
"It Ends with Us: A Novel",www.amazon.com
"The Kissing Booth",www.amazon.com
"Haunting Adeline (Cat and Mouse Duet Book 1)",www.amazon.com
"Off Limits: A brother's best friend college sports romance (Marycliff Football Book 1)",www.amazon.com
"The Plea: A Novel (Eddie Flynn Book 2)",www.amazon.com
"The Secret History: A Novel (Vintage Contemporaries)",www.amazon.com
"Wolf.e: Soldiers of Bedlam, Book 1",www.amazon.com
"Our Fault (Culpable Book 3)",www.amazon.com
"The Unplanned Wedding: Knox & June's Story. Boss Employee Marriage of Convenience Romance (The Davenports Book 3)",www.amazon.com
"Fake It Till You Bake It: A Novel (Sugar Blitz Book 1)",www.amazon.com
"Savage: A Dark High School Bully Romance (Savage Falls Sinners MC Book 1)",www.amazon.com
"Tell Me Three Things",www.amazon.com
"A Cosmic Kind of Love",www.amazon.com
"First Verse: A Rockstar Romance (A Perfect Song Duet Book 1)",www.amazon.com
"Goalkeeper: A Moo U Hockey Romance",www.amazon.com
"Sometimes It Lasts (Sea Breeze Book 5)",www.amazon.com
"Playing for Keeps: A Brother's Best Friend Hockey Romance (Hot Jocks Book 1)",www.amazon.com
"Incense and Sensibility: A Novel (The Rajes Series Book 3)",www.amazon.com
"In A Heartbeat: A Small Town, Friends-to-Enemies-to-Lovers Romance (Rosewood River Series Book 5)",www.amazon.com
"Breaking Dawn (The Twilight Saga Book 4)",www.amazon.com
"The Dugout",www.amazon.com
"Hunting Pretty: A Dark Stalker Romance (Lovely Broken Doll Book 1)",www.amazon.com
"I Thought of You",www.amazon.com
"Spark",www.amazon.com
"That Second Chance (Getting Lucky Book 1)",www.amazon.com
"Truth About Forever",www.amazon.com
"Raced: A bad boy/good girl, damaged alpha, racing romance (The Colton Points of View novella) (Driven Book 4)",www.amazon.com
"If Only I Had Told Her (Collector's Edition)",www.amazon.com
"Wild About You: A Second Chance Sports Romance (Wildcat Hockey Book 2)",www.amazon.com
"Heartstrings (The Heartbreak Chronicles Book 3)",www.amazon.com
"The Kissing Booth #3: One Last Time",www.amazon.com
"Faking It with the Forward: Wittmore U Hockey",www.amazon.com
"Freak (Creep Book 2)",www.amazon.com
"Things We Left Behind (Knockemout Book 3)",www.amazon.com
"Here For The Cake: A fake dating, beach wedding romance",www.amazon.com
"Spotlight (The Holland Brothers Book 4)",www.amazon.com
"Royally Bad: Bad Boy Royals, Book 1",www.amazon.com
"Most Valuable Playboy",www.amazon.com
"Promise Me Forever: Manhattan Ruthless",www.amazon.com
"Amy & Roger's Epic Detour",www.amazon.com
"The Setup: A Best Friend's to Lovers Standalone",www.amazon.com
"No Easy Dare: A One-Night-Stand, Fake Fiancé Romance (The Brothers of Calloway Creek: The McQuaids)",www.amazon.com
"Meet Me in Paradise",www.amazon.com
"Mine for a Moment",www.amazon.com
"Hollow Hellion (The Hollows Trilogy Book 1)",www.amazon.com
"The Things We Leave Unfinished (SIGNED)",www.amazon.com
"Baby Be Mine: A baby-on-the-doorstep marriage of convenience contemporary romance (The Blackwell Brothers Book 1)",www.amazon.com
"Keeping the Beat (Heart Beats Book 3)",www.amazon.com
"The Hook Up: A Sexy Opposites Attract Sports Romance with a Confident Quarterback and a Prickly College Student (Game On, 1)",www.amazon.com
"Me Before You (Me Before You Trilogy)",www.amazon.com
"Bratva Knight (Bratva Series Book 3)",www.amazon.com
"Until It's Over: A Novel",www.amazon.com
"Slapshot: A Moo U Hockey Romance",www.amazon.com
"This Summer Will Be Different",www.amazon.com
"Breathtaking (Red Lips & White Lies Book 6)",www.amazon.com
"Mariposa (Queens Command Book 1)",www.amazon.com
"Watch Your Back (Devil's Backbone Book 2)",www.amazon.com
"The Parker Sisters: Aurora",www.amazon.com
"Gibson's Legacy: A Second Chance Rockstar Romance (Last Score Book 1)",www.amazon.com
"Game On: An Into Darkness Novel (An into Darkness Novel (Into Darkness Series) Book 3)",www.amazon.com
"Rolling 75 (The Noire Brothers Series Book 1)",www.amazon.com
"The Wild Card (Vancouver Storm Book 5)",www.amazon.com
"Sinners Condemned : An Enemies to Lovers Mafia Romance (Sinners Anonymous Book 2)",www.amazon.com
"Ruthless Rebel: An Arranged Marriage Romance (Ruthless Billionaires Book 2)",www.amazon.com
"Burn for Burn (The Burn for Burn Trilogy)",www.amazon.com
"Not Safe For Work: A rivals-to-lovers romance by the bestselling author of the Artefacts of Ouranos Series",www.amazon.com
"Make Me Hate You: A Best Friend's Brother Romance",www.amazon.com
"Bratva Bride (Bratva Series Book 1)",www.amazon.com
"Sick Boys: A Dark Bully Romance (Spine Ridge University)",www.amazon.com
"Famous Last Words: A College Hockey Romance (Holt Hockey Book 1)",www.amazon.com
"The Nanny Goal (Off The Ice Book 4)",www.amazon.com
"Older (Deluxe Edition)",www.amazon.com
"The Elite (The Selection Book 2)",www.amazon.com
"Wish I Were Here",www.amazon.com
"The Ex Vows",www.amazon.com
B0DNTMD9PZ,www.amazon.com
"The Wall of Winnipeg and Me: A Spicy Football Romance",www.amazon.com
"Halftime: A Moo U Hockey Romance",www.amazon.com
"Mountain Daddy: Mountain Men Series Book Two",www.amazon.com
"Write Me For You",www.amazon.com
"Last Boy (The Puck Boys of Brooks University Book 7)",www.amazon.com
"Near Miss",www.amazon.com
"The One (The Selection Book 3)",www.amazon.com
"Make Me Yours: A Friends-to-Lovers Close Proximity Hockey Romance (Chicago Railers Hockey Book 1)",www.amazon.com
"Where's Molly",www.amazon.com
"Second Chance Summer",www.amazon.com
"Ruthless Heir: A Fake Dating Romance (Ruthless Billionaires Book 5)",www.amazon.com
"Enjoy the View (Moose Springs, Alaska, 3)",www.amazon.com
"Maybe Now: A Novel (Maybe Someday)",www.amazon.com
"The Summer I Fell for My Enemy: A Sweet, Feel Good YA Romance (Legacy Inn Book 4)",www.amazon.com
"Simon vs. the Homo Sapiens Agenda",www.amazon.com
"Fall Me Maybe: A Fun and Feel-Good, Autumn-Inspired Small-Town Romance (Cozy Creek Collection)",www.amazon.com
"The Deal (Neighbor from Hell Book 15)",www.amazon.com
"Brutal Collateral: An Irish Mafia Enemies to Lovers Arranged Marriage Dark Romance (Quinlan Empire Book 1)",www.amazon.com
"Dark Angel: An Age Gap/ Father's Best Friend Romance. (The London Ruthless Series Book 1)",www.amazon.com
"Something in Between: A thought-provoking coming-of-age novel",www.amazon.com
"Summer of '69",www.amazon.com
"The Ensemble: A Novel",www.amazon.com
"The Bride Test",www.amazon.com
"Cocky Score: A Fake Dating Hockey Romance (The Hawkeyes Hockey Series Book 1)",www.amazon.com
"Look Closer",www.amazon.com
"Beautiful Stranger (The Beautiful Series Book 2)",www.amazon.com
"Family of Liars: The Prequel to We Were Liars",www.amazon.com
"Sunday Morning",www.amazon.com
"Strictly The Worst (The Salinger Brothers Book 5)",www.amazon.com
"Too Fast: A Why Choose Sports Romance (Boys of Lake Chapel Book 2)",www.amazon.com
"Never Been Shipped",www.amazon.com
"Malibu Rising: The new novel from the bestselling author of Daisy Jones & The Six",www.amazon.com
"A Curse for True Love (Once Upon a Broken Heart Book 3)",www.amazon.com
"Whiskey Lies (Boston Billionaires Book 1)",www.amazon.com
"Lorenzo: A Grumpy/ Sunshine, Dark mafia Romance (Chicago Ruthless Book 3)",www.amazon.com
"PS: I Hate You: an emotional, enemies-to-lovers romcom perfect for fans of P.S. I Love You and Emily Henry",www.amazon.com
"The Wrong Heart",www.amazon.com
"Don’t Tell Me How to Die: A Novel",www.amazon.com
"The Pass (Smart Jocks Book 5)",www.amazon.com
"The Conditions of Will",www.amazon.com
"What Happens After Midnight",www.amazon.com
"Off to the Races: A Small Town Enemies to Lovers Romance (Gold Rush Ranch Book 1)",www.amazon.com
"The Sea of Tranquility: A Novel (A Coming-of-Age Novel)",www.amazon.com
"Battle of the Bookstores",www.amazon.com
"Double Dare (A Neighbor From Hell Series Book 6)",www.amazon.com
"Don't Let Him In: A Novel",www.amazon.com
"Someday Never Came",www.amazon.com
"Beard with Me: A Small Town Romantic Comedy (Winston Brothers Book 9)",www.amazon.com
"All of It",www.amazon.com
"The Wrong Bachelor: An Enemies-to-Lovers YA Romantic Comedy (The Wrong Match Book 1)",www.amazon.com
"June First",www.amazon.com
"Ick Factor: A Fake Dating Workplace Romance (Season of Revenge Series Book 4)",www.amazon.com
"Evidence of the Affair",www.amazon.com
"Caught Up: Special Edition (Windy City Series Book 3)",www.amazon.com
"The Woman in Suite 11: A Novel",www.amazon.com
"The Highland Fling",www.amazon.com
"One Last Stop",www.amazon.com
"The Brooklyn Book Boyfriends: a collection",www.amazon.com
"The Probability of Miracles by Wunder, Wendy published by Razorbill (2011)",www.amazon.com
"The Upside of Falling: A Fun and Flirty Teen Romance",www.amazon.com
"Something Wilder",www.amazon.com
"Hush, Hush",www.amazon.com
"Titan (The Dark Kingdom Book 2)",www.amazon.com
"Ready or Not: A Novel (Dial Delights)",www.amazon.com
"Last Chorus: A Rockstar Romance (A Perfect Song Duet Book 2)",www.amazon.com
"Firefly Lane",www.amazon.com
"Private Agenda: Heights Chronicles",www.amazon.com
"A Thousand Boy Kisses",www.amazon.com
"How to Honeymoon Alone",www.amazon.com
"Make The Play: A Fake Dating Hockey Romance (Colorado Storm Book 2)",www.amazon.com
"Undercover Duke: A Witty and Entertaining Historical Regency Romance (Duke Dynasty Book 4)",www.amazon.com
"Roommating",www.amazon.com
"We Fell Apart: Return to the world of the TikTok sensation, We Were Liars",www.amazon.com
"The Unexpected Everything",www.amazon.com
"A False Start: A Small Town Brother's Best Friend Romance (Gold Rush Ranch Book 4)",www.amazon.com
"The Wrong Guy (Cold Springs)",www.amazon.com
"New Moon (The Twilight Saga Book 2)",www.amazon.com
"Faking the Face Off : A Sweet Hockey RomCom (River City Renegades Book 1)",www.amazon.com
"She Rides Shotgun: An Edgar Award Winner - Soon to be a Major Motion Picture Starring Taron Egerton",www.amazon.com
"What If I See You (Anaheim Stars Hockey Series Book 4)",www.amazon.com
"Wait for It",www.amazon.com
"Well and Truly Pucked: A Friends to Lovers Hockey Romance (My Hockey Romance Book 4)",www.amazon.com
"Forever After All: A Billionaire Marriage of Convenience Novel",www.amazon.com
"The Sea Is Salt and So Am I",www.amazon.com
"The Oath We Give (The Hollow Boys Book 5)",www.amazon.com
"Darkroom: A Moo U Hockey Romance",www.amazon.com
"His Son's Ex: An Age Gap, Mafia Romance (Silver Fox Daddies)",www.amazon.com
"The Wedding Date",www.amazon.com
"Summer's Echo",www.amazon.com
"Is She Really Going Out with Him?",www.amazon.com
"Mad About You: A Novel",www.amazon.com
"Yours Actually (Only Yours Book 2)",www.amazon.com
"Bleacher Report: Fake Dating Hockey Romance (Rookie Hawkeyes Series Book 2)",www.amazon.com
"We Were Liars Deluxe Edition",www.amazon.com
"Double Pucked",www.amazon.com
"Bonfire: A Novel",www.amazon.com
"Cross-Checked (Boston Rebels Book 3)",www.amazon.com
"Spiralling Skywards: Book One Falling",www.amazon.com
"The Statistical Probability of Love at First Sight",www.amazon.com
"Dear Heart, You Screwed Me",www.amazon.com
"Seal The Deal: A Second Chance Hockey Romance (Colorado Storm Book 1)",www.amazon.com
"Hate Notes",www.amazon.com
"Christmas Shopaholic: A Novel",www.amazon.com
"Reveal Me: A Billionaire BDSM Forbidden Romance (The Beckett Brothers Book 4)",www.amazon.com
"Crash Into You: A Coming of Age YA Romance (Pushing the Limits Book 3)",www.amazon.com
"One to Watch: A Novel",www.amazon.com
"Well Traveled",www.amazon.com
"Unloved: A Novel (The Undone)",www.amazon.com
"Her Best Man: A Second Chance at Love, Fake Relationship Romantic Comedy (A Left at the Altar Romance Book 1)",www.amazon.com
"The Unsinkable Greta James: A Novel",www.amazon.com
"From Now On: A College Hockey Romance (Holt Hockey Book 3)",www.amazon.com
"Until Then: (An Age Gap Romance)",www.amazon.com
"Tiny Precious Secrets: A Single Dad, Surprise Pregnancy Romance (The Brothers of Calloway Creek: The Montanas)",www.amazon.com
"Driven",www.amazon.com
"Love Arranged: Lakefront Billionaires, Book 3",www.amazon.com
"The Austen Playbook: The Perfect Beach Read (London Celebrities Book 4)",www.amazon.com
"Wyatt (Lucky River Ranch Book 2)",www.amazon.com
"Hopeless",www.amazon.com
"A Legend in the Baking: A Novel (Sugar Blitz Book 2)",www.amazon.com
"Dumplin': Go Big or Go Home.",www.amazon.com
"The Romance Line (Love and Hockey Book 2)",www.amazon.com
"Delectable: A Neighbor from Hell Novel",www.amazon.com
"The Trade: A Teammate's Sister Romantic Standalone",www.amazon.com
"Lease on Love: A warmly funny and delightfully sharp opposites-attract, roommates-to-lovers romance",www.amazon.com
"The Heir (The Selection Book 4)",www.amazon.com
"Three Blind Dates (Dating by Numbers Book 1)",www.amazon.com
"Sinning like Hell: a dark forbidden romance (The Star-Crossed Series Book 2)",www.amazon.com
"Ruin Me: A hot, forbidden, bodyguard romance (The Beckett Brothers Book 3)",www.amazon.com
"The Start of Me and You",www.amazon.com
"Time of Your Life: The irresistible new novel by Jessa Hastings - out now!",www.amazon.com
"Not in My Book",www.amazon.com
"A Wild Card Kiss (Ballers and Babes Book 2)",www.amazon.com
"Little Fires Everywhere",www.amazon.com
"Most of All You: A Love Story",www.amazon.com
"The Final Gambit (The Inheritance Games Book 3)",www.amazon.com
"Legend (Real Book 6)",www.amazon.com
"Under One Roof",www.amazon.com
"Marrying My Billionaire Hookup",www.amazon.com
"Fake Shot (Boston Rebels Book 2)",www.amazon.com
"Poison Roses (Boys of Bellerose Book 1)",www.amazon.com
"Green Light",www.amazon.com
"Girls Just Want to Have Sun: A hilarious novel of sun, surprises and chaos from Jo Lyons (The Girls series)",www.amazon.com
"Practice Makes Perfect: A Novel (Rome, Kentucky)",www.amazon.com
"Ice Bet: A Forbidden Hockey Romance (Bexley U)",www.amazon.com
"Her Soul for Revenge: Deluxe Limited Edition: A Spicy Dark Demon Romance (Souls Trilogy)",www.amazon.com
"When You Were Mine: The Novel That Inspired the Movie Rosaline",www.amazon.com
"Act Like It: An Enemies-to-Lovers Romance (London Celebrities Book 1)",www.amazon.com
"The One I Left Behind: A Novel",www.amazon.com
"The Accomplice (Eddie Flynn Series)",www.amazon.com
"Play Me: The Complete Story: Play Me Wild, Play Me Hot, Play Me Hard, Play Me Real, Play Me Right (Sebastian Caine)",www.amazon.com
"The Missing Half: A Novel",www.amazon.com
"The Butterfly Garden: The Collector, Book 1",www.amazon.com
"The Heartbreakers (The Heartbreak Chronicles, 1)",www.amazon.com
"Gametime: A Moo U Hockey Romance",www.amazon.com
"Indigo Ridge (The Edens, 1)",www.amazon.com
"Archer's Voice (Where Love Meets Destiny, 1)",www.amazon.com
"No Ordinary Love",www.amazon.com
"My True Love Gave to Me: Twelve Holiday Stories",www.amazon.com
"The Boyfriend Goal (Love and Hockey Book 1)",www.amazon.com
"Julie Chan Is Dead: A Novel",www.amazon.com
"The Summer of Broken Rules: A Happily Ever After Beach Read",www.amazon.com
"Alive and Wells: A Wells Ranch Novel",www.amazon.com
"The Bad Boy Rule: An Enemies to Lovers, Fake Dating Hockey Romance (Hellcats Hockey Book 1)",www.amazon.com
"Chasing Forever: The Owens (Plain Daisy Ranch Book 4)",www.amazon.com
"Eleanor Oliphant Is Completely Fine: A Novel",www.amazon.com
"Best Mistake Ever: A BRAND NEW spicy workplace romance from Christy McKellen for 2025",www.amazon.com
"Captivating (Red Lips & White Lies Book 4)",www.amazon.com
"Pucked Under (The Pucked Series Book 5)",www.amazon.com
"Chosen Boy: The Puck Boys of Brooks University, Book 4",www.amazon.com
"Fifty Fifty: A Novel (Eddie Flynn Series)",www.amazon.com
"Same Time Next Summer",www.amazon.com
"Forever, Interrupted",www.amazon.com
"Magnolia Parks: The Long Way Home (The Magnolia Parks Universe Book 3)",www.amazon.com
"The Unwanted Bride: An Arranged Marriage Romance (The Lasker Brothers)",www.amazon.com
"Arrogant Devil",www.amazon.com
"What if It's Us (Anaheim Stars Hockey Series Book 5)",www.amazon.com
"Caught on Camera: A Spicy Fake Dating Romance (Love through a Lens Book 2)",www.amazon.com
"Hold the Pickle (The Pickle Cousins Book 3)",www.amazon.com
"First Comes Like: A Novel (Modern Love Book 3)",www.amazon.com
"Still Me: A Novel (Me Before You Trilogy)",www.amazon.com
"Brokeback Mountain: Now a Major Motion Picture",www.amazon.com
"The Second Ending: A Novel",www.amazon.com
"My Fault (Deluxe Edition) (Culpable, 1)",www.amazon.com
"Pick-Up",www.amazon.com
"Caught Looking (Vegas Heat: Bases Loaded Book 2)",www.amazon.com
"Disorderly Conduct: The Academy",www.amazon.com
"Fall I Want: A Heartwarming, Spicy Small-Town Romance Featuring a Billionaire's Unexpected Love, Fake Relationships, and Autumn Magic—Perfect for Fans ... Spice Café (Cozy Creek Collection Book 1)",www.amazon.com
"Less (Winner of the Pulitzer Prize): A Novel (The Arthur Less Books Book 1)",www.amazon.com
"Less Is Lost (The Arthur Less Books Book 2)",www.amazon.com
"Suddenly Tempted: The new enemies-to-lovers, forced proximity, billionaire romance (APEX Billionaires’ Club Book 1)",www.amazon.com
"The Scoring Secret: A Hockey Romance (Off The Ice Book 2)",www.amazon.com
"The Overtime Kiss (Love and Hockey Book 5)",www.amazon.com
"My Killer Vacation: A Spicy Romantic Suspense Thriller in Cape Cod",www.amazon.com
"The Fake Mate",www.amazon.com
"The Rosie Project",www.amazon.com
"#CrimeTime: An Audio Original",www.amazon.com
"The Brentwood Boys",www.amazon.com
"Romantic Comedy: Reese's Book Club: A Novel",www.amazon.com
"PUCKED Over (A Standalone Romantic Comedy) (The PUCKED Series Book 3)",www.amazon.com
"Maybe Someday",www.amazon.com
"Magnolia Parks: Into the Dark (The Magnolia Parks Universe Book 5)",www.amazon.com
"Wild Card: Discover the no 1 Sunday Times bestselling author and your new small town romance obsession! (Rose Hill)",www.amazon.com
"Station Eleven: A novel",www.amazon.com
"Sweet Ache: A Driven Novel (The Driven Series)",www.amazon.com
"Cash (Deluxe Edition) (Lucky River Ranch, 1)",www.amazon.com
"A Tempting Arrangement (Twisted Vows Book 1)",www.amazon.com
"That Swoony Feeling (Getting Lucky Book 4)",www.amazon.com
"The Japanese Lover: A Novel",www.amazon.com
"Delicate Escape (Sparrow Falls Book 2)",www.amazon.com
"Braving the Storm (Crimson Ridge Book 2)",www.amazon.com
"Eleanor & Park: Exclusive Special Edition",www.amazon.com
"The Maid's Diary: A Novel",www.amazon.com
"Vacation Wars",www.amazon.com
"My Life Next Door",www.amazon.com
"Broken Play (PCU Storm Book 1)",www.amazon.com
"Dear Rosie,: Love Letters Book Two",www.amazon.com
"Problematic Summer Romance: From the bestselling author of Deep End and The Love Hypothesis",www.amazon.com
"When Forty Blooms",www.amazon.com
"All The Forbidden Things: A Single Dad Age Gap Romance",www.amazon.com
"Wildest Dreams: An Enemies to Lovers Romance (Forbidden Love Book 2)",www.amazon.com
"The One I Stood Beside: The Noughtons (Plain Daisy Ranch Book 2)",www.amazon.com
"Whisper Sweet Nothings: A Small Town, Single Dad Romance (Rosewood River Series Book 6)",www.amazon.com
"Barn Burner: A Fake Dating Hockey Romance (Sinners on the Ice)",www.amazon.com
"The Nanny is Off Limits",www.amazon.com
"The Perks of Being a Wallflower",www.amazon.com
"Holding the Reins: A Silver Pines Novel (Silver Pines Ranch)",www.amazon.com
"Over the Moon: A Small Town, Hockey Romance (Rosewood River Series Book 3)",www.amazon.com
"Lotus: Second Chance Love with Romantic Suspense",www.amazon.com
"Silhouette (Deal with the Devil)",www.amazon.com
"The Worst Best Man: A Steamy Wedding Planner's Revenge",www.amazon.com
"Ryker (Kings of Korruption MC Book 1)",www.amazon.com
"Ashes to Ashes (Burn for Burn Book 3)",www.amazon.com
