"Product Name","ASIN","Ownership Type","Ownership Subtype"
"Dark Restraint (Dark Olympus Book 7)","B0CLBQGRMQ","Item Owner","PublicLibraryLending"
"All He'll Ever Be (Merciless World Series Book 1)","B07Y89DWCN","Item Owner","PublicLibraryLending"
"Destroy Me (Shatter Me Book 1)","B0076790LA","Item Owner","PublicLibraryLending"
"Restore Me (Shatter Me Book 4)","B0727NP66G","Item Owner","PublicLibraryLending"
"Take Me: A Stark Ever After Novella (Stark Trilogy)","B00FO60CH6","Item Owner","PublicLibraryLending"
"The Love Hypothesis","B08T6XN4FP","Item Owner","PublicLibraryLending"
"Beach Read","B07XNKRV83","Item Owner","PublicLibraryLending"
"Ignite Me (Shatter Me Book 3)","B00DB2YN0C","Item Owner","PublicLibraryLending"
"Hardwired: The Hacker Series #1","B00V3MY1IQ","Item Owner","PublicLibraryLending"
"Hardpressed: The Hacker Series #2","B00V3MY1GS","Item Owner","PublicLibraryLending"
"Release Me (The Stark Trilogy, Book 1)","B008WOTQGU","Item Owner","PublicLibraryLending"
"Complete Me (The Stark Trilogy, Book 3)","B00BKK6E04","Item Owner","PublicLibraryLending"
"Hold Me: A Stark Ever After Novella (1001 Dark Nights)","B01MSWC05T","Item Owner","PublicLibraryLending"
"Love and Other Words","B075CRQLKG","Item Owner","PublicLibraryLending"
"Unravel Me (Shatter Me Book 2)","B0089LOFGC","Item Owner","PublicLibraryLending"
"Hard Love: The Hacker Series #5","B00W22ITCU","Item Owner","PublicLibraryLending"
"Love, Theoretically","B0BJJTTM8K","Item Owner","PublicLibraryLending"
"Beautiful Bastard","B009UVCYLS","Item Owner","PublicLibraryLending"
"Claim Me (The Stark Trilogy, Book 2)","B00AXIZ5MC","Item Owner","PublicLibraryLending"
"Say My Name: A Stark Novel (Stark International Trilogy Book 1)","B00N6PD7L0","Item Owner","PublicLibraryLending"
"Under My Skin: A Stark Novel (Stark International Trilogy Book 3)","B00QE1DLIC","Item Owner","PublicLibraryLending"
"On My Knees: A Stark Novel (Stark International Trilogy Book 2)","B00O6V45CS","Item Owner","PublicLibraryLending"
"Damien: A Stark Novel (Stark Saga Book 6)","B07G5FTPGY","Item Owner","PublicLibraryLending"
"Hello Stranger: A Novel","B0B9KVDK8P","Item Owner","PublicLibraryLending"
"Happy Place","B0B7L29TB7","Item Owner","PublicLibraryLending"
"Book Lovers","B09BTQ9HW6","Item Owner","PublicLibraryLending"
"Love on the Brain","B09PQFL2J7","Item Owner","PublicLibraryLending"
"Life's Too Short (The Friend Zone Book 3)","B08F4ZSTH2","Item Owner","PublicLibraryLending"
"Not in Love","B0CHVBB7Y5","Item Owner","PublicLibraryLending"
"The True Love Experiment","B0BF16RV53","Item Owner","PublicLibraryLending"
"The Paradise Problem","B0CL5FS86S","Item Owner","PublicLibraryLending"
"Wicked Beauty: A Sinfully Sweet Modern Retelling of Achilles, Patroclus, and Helen of Troy (Dark Olympus Book 3)","B09DTJF1WD","Item Owner","PublicLibraryLending"
"Cruel Seduction (Dark Olympus Book 5)","B0BHLBHG79","Item Owner","PublicLibraryLending"
"Radiant Sin: A Darkly Hot Modern Retelling of Apollo and Cassandra (Dark Olympus Book 4)","B09Z7BYZS3","Item Owner","PublicLibraryLending"
"Fangirl Down: A Novel (Big Shots Book 1)","B0C4LHVJ82","Item Owner","PublicLibraryLending"
"When in Rome: A Novel","B09QJM783S","Item Owner","PublicLibraryLending"
"People We Meet on Vacation","B08FZNYQJC","Item Owner","PublicLibraryLending"
"Heidi's Guide to Four Letter Words","B07WD5D3PN","Item Owner","PublicLibraryLending"
"A Touch of Chaos (Hades x Persephone Saga Book 7)","B0BTV277VT","Item Owner","PublicLibraryLending"
"Lovelight Farms","B0BVRQQJ7X","Item Owner","PublicLibraryLending"
"The Flatshare: A Novel","B07KF75BSQ","Item Owner","PublicLibraryLending"
"Check & Mate","B0BV5X9VB8","Item Owner","PublicLibraryLending"
"The Au Pair Affair: A Novel (Big Shots Book 2)","B0CLJW5KC2","Item Owner","PublicLibraryLending"
"Five Brothers","B0CM5L5T6D","Item Owner","PublicLibraryLending"
"Dream Girl Drama: A Spicy Sports Rom-Com with an Unconventional Love Story (Big Shots Book 3)","B0D2VNCDRQ","Item Owner","PublicLibraryLending"
"First-Time Caller (Heartstrings Book 1)","B0D3Z2M35D","Item Owner","PublicLibraryLending"
"Goldfinch (The Plated Prisoner Series Book 6)","B0CLFB86PL","Item Owner","KindleUnlimited"
"Gold (The Plated Prisoner Series Book 5)","B0B4F9G5JD","Item Owner","KindleUnlimited"
"King of Envy (Kings of Sin Book 5)","B0CZV38Z7J","Item Owner","KindleUnlimited"
"Some Kind of Perfect (Addicted Series)","B01FWXWOV2","Item Owner","KindleUnlimited"
"Rewind It Back (Windy City Series Book 5)","B0D888FZSD","Item Owner","KindleUnlimited"
"Problematic Summer Romance","B0DZ3JM6XM","Item Owner","Purchase"
"The Best Wrong Move: Off-Limits, Book 1","B0F62R6JN4","Item Owner","AudiblePlus"
"The Anatomy of Us: A Love Story","B0F5B74X83","Item Owner","AudiblePlus"
"Better Luck Next Time","B0DXQL2RJ5","Item Owner","AudiblePlus"
"Releasing 10: An Epic, Emotional, and Addictive Romance from TikTok Phenomenon! (Boys of Tommen Book 6)","B0F1Y9XH1B","Item Owner","Purchase"
"Great Big Beautiful Life: Reese's Book Club","B0DGCLB3X3","Item Owner","Purchase"
"The Way of Kings: Book One of the Stormlight Archive (The Stormlight Archive, 1)","B003P2WO5E","Item Owner","Sharing"
"The Alloy of Law: A Mistborn Novel (The Mistborn Saga Book 4)","B00540QR7Q","Item Owner","Sharing"
"Addicted to You","B00DE5EBZ8","Item Owner","KindleUnlimited"
"Gild (The Plated Prisoner Series Book 1)","B08HJDG47W","Item Owner","KindleUnlimited"
"Gleam (The Plated Prisoner Series Book 3)","B08XK8L1J7","Item Owner","KindleUnlimited"
"Glint (The Plated Prisoner Series Book 2)","B08RW8MW3D","Item Owner","KindleUnlimited"
"Glow (The Plated Prisoner Series Book 4)","B095G183J6","Item Owner","KindleUnlimited"
"Thrive (Addicted Series)","B00LWSNUQ0","Item Owner","KindleUnlimited"
"Addicted After All","B00P2RBHPS","Item Owner","KindleUnlimited"
"Fuel the Fire (Addicted Series)","B00VJSQKWY","Item Owner","KindleUnlimited"
"Long Way Down (Addicted Series)","B0188332MI","Item Owner","KindleUnlimited"
"Hothouse Flower (Addicted Series)","B00JAXSEFQ","Item Owner","KindleUnlimited"
"Ricochet (Addicted Series)","B00E9BE7TQ","Item Owner","KindleUnlimited"
"Addicted for Now","B00H06NGBM","Item Owner","KindleUnlimited"
"Kiss the Sky (Addicted Series)","B00HZVPHGE","Item Owner","KindleUnlimited"
"Washington: A Life (Pulitzer Prize Winner)","B003ZK58SQ","Item Owner","Sharing"
"Audacity: A Priest-Turned-Billionaire Workplace Romance (Seraph)","B0D1PC9FHN","Item Owner","KindleUnlimited"
"The Home-wrecker (The Goode Brothers)","B0C9KJRSX7","Item Owner","KindleUnlimited"
"The Heartbreaker (The Goode Brothers)","B0CYM3ZDK6","Item Owner","KindleUnlimited"
"Fragile Sanctuary (Sparrow Falls Book 1)","B0CR1N7YGX","Item Owner","KindleUnlimited"
"Kiss The Villain: A Dark MM Enemies to Lovers Romance","B0DJT283QQ","Item Owner","KindleUnlimited"
"Bittersweet Melody : (The Bittersweet Symphony Duet 2.5)","B0BVRT9TRJ","Item Owner","KindleUnlimited"
"Tryst Six Venom","B09418JQMK","Item Owner","KindleUnlimited"
"Reverse (The Bittersweet Symphony Duet Book 2)","B0B6SZZDTP","Item Owner","KindleUnlimited"
"Drive (The Bittersweet Symphony Duet Book 1)","B076G47245","Item Owner","KindleUnlimited"
"Bridesmaid by Chance","B0DCTZPG8V","Item Owner","KindleUnlimited"
"The Dream Guy Next Door","B08MB531QL","Item Owner","AudiblePlus"
"Love, Rebooted","B0F1NHK4T7","Item Owner","AudiblePlus"
"One Last Rainy Day: The Legacy of a Prince: The Ravenhood Legacy, Book 1","B0CCZYXD2T","Item Owner","Purchase"
"Play With Me (Playing For Keeps Book 2)","B0B6PRL9H5","Item Owner","KindleUnlimited"
"Unravel Me (Playing For Keeps Book 3)","B0CD2RWNVL","Item Owner","KindleUnlimited"
"Fall With Me (Playing For Keeps Book 4)","B0CVLJ8816","Item Owner","KindleUnlimited"
"One Last Rainy Day (Ravenhood Legacy Book 1)","B0D9CC3C9Y","Item Owner","KindleUnlimited"
"Nocticadia","B0C3426KGW","Item Owner","KindleUnlimited"
"Does It Hurt?: An Enemies to Lovers Romance","B09PKTYKGZ","Item Owner","KindleUnlimited"
"THAT SIK LUV","B0BSYJCFHD","Item Owner","KindleUnlimited"
"Beautiful Fiend: A Dark Enemies to Lovers Romance (North Shore Stories Book 1)","B0BYB6DXBY","Item Owner","KindleUnlimited"
"A Dose of Pretty Poison: A Brother's Best Friend Romance (Pretty Poison Trilogy Book 1)","B0BVV2TLZD","Item Owner","KindleUnlimited"
"Lords of Pain (Dark College Bully Romance): Royals of Forsyth University","B08W3RYS26","Item Owner","KindleUnlimited"
"Bound by Honor (Born in Blood Mafia Chronicles Book 1)","B00PUS8AEK","Item Owner","KindleUnlimited"
"War of Her Heart","B0DJWGHHX3","Item Owner","KindleUnlimited"
"Kingmakers: Year One","B08R9PX3ZL","Item Owner","KindleUnlimited"
"There Are No Saints (Sinners Duet Book 1)","B09GCC6Y5M","Item Owner","KindleUnlimited"
"The Charlie Method (Campus Diaries Book 3)","B0CWZ83PGD","Item Owner","KindleUnlimited"
"Quicksilver (Fae & Alchemy Book 1)","B0DDKHNVWF","Item Owner","KindleUnlimited"
"Consider Me (Playing For Keeps Book 1)","B09QK389GG","Item Owner","KindleUnlimited"
"The Fall Risk: A Short Story","B0DS2VTD7Y","Item Owner","KindleUnlimited"
"The Fall Risk: A Short Story","B0DD7X5V3V","Item Owner","KindleUnlimited"
"Shoot Your Shot: A Fun and Flirty Hockey Romance Between an Athlete and Aspiring Tattoo Artist","B0D46PR72D","Item Owner","KindleUnlimited"
"Ice Mechanic: A Small-Town Hockey Romance (Lucky Strikers Hockey Romance)","B0DPLWFDWY","Item Owner","KindleUnlimited"
"Fake Around and Find Out: An Enemies-to-lovers Fake Relationship Grumpy Sunshine romance. (Happy Haven Book 1)","B0CBHXCKPS","Item Owner","KindleUnlimited"
"Anger Banger: An Enemies-to-lovers Grumpy Sunshine Romance (Happy Haven Book 2)","B0CDJPKT7K","Item Owner","KindleUnlimited"
"Unite Me (Shatter Me)","0062327968","Not Interested","GR"
"Shatter Me","0062085484","Not Interested","GR"
"The Pucking Wrong Number: A Hockey Romance (The Pucking Wrong Series Book 1)","B0BYWR9N4G","Item Owner","KindleUnlimited"
"The Pucking Wrong Guy: A Hockey Romance (The Pucking Wrong Series Book 2)","B0C5K4RCNR","Item Owner","KindleUnlimited"
"The Pucking Wrong Date: A Hockey Romance (The Pucking Wrong Series Book 3)","B0CJDMBYCT","Item Owner","KindleUnlimited"
"Iron Flame (The Empyrean Book 2)","B0C4JMJBNX","Item Owner","KindleUnlimited"
"Consider Me: Playing for Keeps, Book 1","B0B98WZ1CJ","Item Owner","AudiblePlus"
"Fourth Wing (The Empyrean Book 1)","B0BGDM197Q","Item Owner","KindleUnlimited"
"Wild Eyes","B0CXR6ZHLS","Item Owner","KindleUnlimited"
"The Dixon Rule (Campus Diaries Book 2)","B0CLGW57HP","Item Owner","KindleUnlimited"
"The Graham Effect (Campus Diaries Book 1)","B0BYKSTDNB","Item Owner","KindleUnlimited"
"Part of Your World","B09BN2WNPP","Item Owner","KindleUnlimited"
"Noire Moon: A Prologue Novella (Port Macabre)","B0D3QGCCBD","Item Owner","KindleUnlimited"
"The Friend Zone","B07K6G7QBR","Item Owner","PublicLibraryLending"
"Ignite Me (Shatter Me Book 3)","B07H56SK9J","Not Interested","GR"
"Unravel Me (Shatter Me Book 2)","B07H53MXL7","Not Interested","GR"
"Quicksilver: The Fae & Alchemy Series, Book 1","B0DBJBFHGT","Item Owner","Purchase"
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages (The Mistborn Saga)","B004H1TQBW","Item Owner","Sharing"
"Wild Love (Rose Hill Book 1)","B0CKMFZN5Z","Item Owner","KindleUnlimited"
"The Wingman: a relationship coach hockey romance (Vancouver Storm Book 3)","B0DD357DWQ","Item Owner","KindleUnlimited"
"The Fake Out: a fake dating hockey romance (Vancouver Storm Book 2)","B0CNSGXRN9","Item Owner","KindleUnlimited"
"Vengeful Gods (Port Macabre)","B0CPHZP6S9","Item Owner","KindleUnlimited"
"Behind the Net: a grumpy sunshine hockey romance (Vancouver Storm Book 1)","B0C85RV9VG","Item Owner","KindleUnlimited"
"Wild Eyes","B0D98Q4F5C","Item Owner","Purchase"
"Flawless: A Small Town Enemies to Lovers Romance","B09VV2CR51","Item Owner","KindleUnlimited"
"Reckless","B0BTZQ7TGP","Item Owner","KindleUnlimited"
"Powerless: A Small Town Friends to Lovers Romance","B0BHV6ZHT1","Item Owner","KindleUnlimited"
"Heartless: A Small Town Single Dad Romance","B0B4KR2X87","Item Owner","KindleUnlimited"
"Hopeless","B0C7B3DFJZ","Item Owner","KindleUnlimited"
"Deep End","B0D3C17M1Z","Item Owner","Purchase"
"Scythe & Sparrow: The Ruinous Love Trilogy","B0D7NN1P97","Item Owner","Purchase"
"Scythe & Sparrow: The Ruinous Love Trilogy, Book 3","B0D7MYFB42","Item Owner","Purchase"
"Unstitch (Alchemy Book 5)","B0CKBX1G7X","Item Owner","KindleUnlimited"
"Unveil: A Hot Age Gap, Billionaire Romance (Alchemy Book 3)","B0C3B5MXTS","Item Owner","KindleUnlimited"
"Untether (Alchemy Book 4)","B0CFYJWMTR","Item Owner","KindleUnlimited"
"Unbind (Alchemy Book 6)","B0CTCQ6MM4","Item Owner","KindleUnlimited"
"Always Alchemy: The Ever After Book","B0CTCQDVJL","Item Owner","KindleUnlimited"
"Temptation (The Hunted Series Book 1)","B00VVG6LMI","Item Owner","KindleUnlimited"
"Addiction (The Hunted Series Book 2)","B017T5CJWA","Item Owner","KindleUnlimited"
"Misdirected","B0DPQ62DJF","Item Owner","AudiblePlus"
"Always a Bridesmaid","B0DTLXHDZ2","Item Owner","AudiblePlus"
"House of Flame and Shadow: Crescent City, Book 3","B0CGSGXB8Y","Item Owner","Purchase"
"House of Sky and Breath: Crescent City, Book 2","B09MZNTZ54","Item Owner","Purchase"
"House of Earth and Blood: Crescent City, Book 1","B082YHJS14","Item Owner","Purchase"
"Onyx Storm (The Empyrean Book 3)","B0CW1FKFB9","Item Owner","Purchase"
"Reframing the Path to School Leadership: A Guide for Teachers and Principals","B07HQQWJ9Q","Item Owner","Sharing"
"Unfurl: A Hot Age Gap Romance (Alchemy Book 1)","B0BSNRZSRF","Item Owner","KindleUnlimited"
"Undulate: A Hot Age Gap, Single Dad Romance (Alchemy Book 2)","B0BXXH97JF","Item Owner","KindleUnlimited"
"Play Along (Windy City Series Book 4)","B0CKH896T8","Item Owner","KindleUnlimited"
"Just for the Summer","B0CDWHN8FK","Item Owner","KindleUnlimited"
"Swallow Your Pride: A Forbidden Age Gap Romance (The Carlson Brothers)","B0C3SNCRXM","Item Owner","KindleUnlimited"
"Mile High (Windy City Series Book 1)","B09X4PVC6F","Item Owner","KindleUnlimited"
"The Right Move (Windy City Series Book 2)","B0B2L6CBXQ","Item Owner","KindleUnlimited"
