"Annotation Migration Date","Annotation Migration Status","Annotation Type","Destination Annotation End Page Number","Destination Annotation Start Page Number","Destination Format","Source Annotation End Page Number","Source Annotation Start Page Number","Source Format"
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,115,115,Mobi,115,115,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,466,466,Mobi,466,466,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,210,210,Mobi,210,210,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,468,468,Mobi,468,468,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,514,514,Mobi,514,514,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,408,408,Mobi,408,408,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,219,219,Mobi,219,219,Mobi
2025-09-26T00:00:00.00Z,SUCCESSFUL,HIGHLIGHT,439,439,Mobi,439,439,Mobi
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-24T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,SUCCESSFUL,CONTINUOUS_READ,"NOT APPLICABLE",10,Mobi,"NOT APPLICABLE",10,Mobi
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,SUCCESSFUL,MOST_RECENT_READ,"NOT APPLICABLE",19,Mobi,"NOT APPLICABLE",19,Mobi
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,SUCCESSFUL,CONTINUOUS_READ,"NOT APPLICABLE",10,Mobi,"NOT APPLICABLE",10,Mobi
2025-09-23T00:00:00.00Z,SUCCESSFUL,LAST_PAGE_READ,"NOT APPLICABLE",10,Mobi,"NOT APPLICABLE",10,Mobi
2025-09-23T00:00:00.00Z,SUCCESSFUL,MOST_RECENT_READ,"NOT APPLICABLE",19,Mobi,"NOT APPLICABLE",19,Mobi
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
2025-09-23T00:00:00.00Z,UNSUCCESSFUL,"NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE","NOT APPLICABLE","NOT AVAILABLE","NOT AVAILABLE"
