AchievementGroupName,AchievementName,EarnDate,Marketplace,Quantity
"2024 Kindle Summer Challenge",UnlimitedReader,2024-07-12T00:07:06Z,www.amazon.com,1
"2024 Kindle Summer Challenge",QuartetReader,2024-07-12T00:07:06Z,www.amazon.com,1
"2024 Kindle Summer Challenge",Bibliophile,2024-07-08T21:12:02Z,www.amazon.com,1
"2024 Kindle Summer Challenge",Bookworm,2024-07-07T22:20:55Z,www.amazon.com,1
"2024 Kindle Summer Challenge",Bookish,2024-07-06T16:59:48Z,www.amazon.com,1
"2024 Kindle Summer Challenge",HeadStart,2024-07-06T14:04:09Z,www.amazon.com,3
"2024 Kindle Spring Challenge",SpringReader,2024-05-16T11:47:41Z,www.amazon.com,1
"2024 Kindle Spring Challenge",SilverReader,2024-05-10T18:17:11Z,www.amazon.com,1
"2024 Kindle Spring Challenge",Skyreader,2024-05-04T22:04:30Z,www.amazon.com,1
"2024 Kindle Spring Challenge",PerfectMonth,2024-04-30T11:42:29Z,www.amazon.com,1
"2024 Kindle Spring Challenge",TheBardsofKindle,2024-04-23T11:05:25Z,www.amazon.com,1
"2024 Kindle Spring Challenge",SeriesPioneer,2024-04-18T02:09:34Z,www.amazon.com,1
"2024 Kindle Spring Challenge",BronzeReader,2024-04-15T23:02:09Z,www.amazon.com,1
"2024 Kindle Spring Challenge",PerfectWeek,2024-04-06T12:03:37Z,www.amazon.com,7
"2024 Kindle Spring Challenge",UnlimitedReader,2024-04-04T19:07:34Z,www.amazon.com,1
"2024 Kindle Spring Challenge",Bibliophile,2024-04-02T11:22:40Z,www.amazon.com,1
"2024 Kindle Spring Challenge",Bookworm,2024-04-02T10:57:55Z,www.amazon.com,1
"2024 Kindle Spring Challenge",Bookish,2024-04-01T19:08:49Z,www.amazon.com,1
"2024 Kindle Spring Challenge",HeadStart,2024-04-01T14:22:27Z,www.amazon.com,2
"2024 New Year Kindle Challenge",PerfectMonth,2024-03-31T13:25:45Z,www.amazon.com,1
"2024 New Year Kindle Challenge",PageSage,2024-03-22T11:21:51Z,www.amazon.com,1
"2024 New Year Kindle Challenge",BronzeReader,2024-03-08T09:02:42Z,www.amazon.com,1
"2024 New Year Kindle Challenge",NationalReadingMonth,2024-03-04T09:20:59Z,www.amazon.com,1
"2024 New Year Kindle Challenge",PerfectWeek,2024-03-02T15:09:45Z,www.amazon.com,5
"2024 New Year Kindle Challenge",Bibliophile,2024-02-25T06:16:42Z,www.amazon.com,1
"2024 New Year Kindle Challenge",Bookworm,2024-02-24T18:32:38Z,www.amazon.com,1
"2024 New Year Kindle Challenge",Bookish,2024-02-24T08:46:49Z,www.amazon.com,1
"2024 New Year Kindle Challenge",GroundhogDay,2024-02-24T08:46:41Z,www.amazon.com,1
"2024 New Year Kindle Challenge",HeadStart,2024-02-23T23:05:04Z,www.amazon.com,2
"Alexa Challenge Achievements",AlexaActiveDaysTracker,2021-08-31T20:04:56Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaShopper,2021-08-28T18:24:14Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaProdigy,2021-08-28T18:16:52Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaJokester,2021-08-28T14:29:45Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaEntertainer,2021-08-28T14:25:12Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaBoxChecker,2021-08-28T13:55:35Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaCommunicator,2021-08-28T09:04:21Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaAccelerator,2021-08-28T08:10:58Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaScheduler,2021-08-28T04:34:21Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaPilot,2021-08-28T00:07:22Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaWeatherman,2021-08-27T20:51:37Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaSilver14days,2021-08-27T06:02:13Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaGold28days,2021-08-27T06:01:11Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaDJ,2021-08-27T05:55:02Z,www.amazon.com,0
"Alexa Challenge Achievements",AlexaBronze7days,2021-08-27T02:03:02Z,www.amazon.com,0
