"Order Place Date","Order Fulfill Date","Order Settle Date","Order ID","Status","Type","Preorder Desc","Sale Type Desc","Royalty Sale Type","Regular Price","Units","Discount","Consumed Credit","Price Paid Member","Tax Rate","Tax","Partner Revenue","Net Sales","Net Price","Currency","Product Name","ASIN","Action","Whispersync"
"2025-02-02","2025-02-02","Not Available","D01-1389572-8761838","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","23.4615150","0.00","USD","House of Flame and Shadow: Crescent City, Book 3 (Unabridged)","B0CGSXFQYY","iPhone Account Create (1.0 app)","Yes"
"2025-01-31","2025-01-31","Not Available","D01-1175284-2381052","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","7.49","1","0.00","0.00","0.00","0.1001","0.75","0.000000","5.2500000","7.49","USD","House of Sky and Breath: Crescent City, Book 2 (Unabridged)","B09MZPZ1WG","Tracking ALOP within iOS","Yes"
"2025-01-28","2025-01-28","Not Available","D01-9373097-3040242","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","1.71","1","0.00","0.00","0.00","0.0994","0.17","0.000000","1.2000000","1.71","USD","House of Earth and Blood: Crescent City, Book 1 (Unabridged)","B082YHZPTY","Tracking ALOP within iOS","Yes"
"2025-01-05","2025-01-05","Not Available","D01-9668856-6259426","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","6.55","1","0.00","0.00","0.00","0.1007","0.66","0.000000","4.5900000","6.55","USD","Kingdom of Ash (Unabridged)","B07J682QY2","Tracking ALOP within iOS","Yes"
"2025-01-03","2025-01-03","Not Available","D01-1020695-6013011","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","2.32","1","0.00","0.00","0.00","0.1034","0.24","0.000000","1.6300000","2.32","USD","Tower of Dawn (Unabridged)","B0759X8K2X","Tracking ALOP within iOS","Yes"
"2024-12-30","2024-12-30","Not Available","D01-6027194-9446606","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","19.1919800","0.00","USD","Empire of Storms (Unabridged)","B01KIQVHL6","iPhone Account Create (1.0 app)","Yes"
"2024-12-29","2024-12-29","Not Available","D01-0044678-8707429","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","3.99","1","0.00","0.00","0.00","0.1002","0.40","0.000000","2.8000000","3.99","USD","Queen of Shadows (Unabridged)","B012BTUEVC","Tracking ALOP within iOS","Yes"
"2024-12-07","2024-12-07","Not Available","D01-2930424-2809854","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","21.6131960","0.00","USD","The Words (Unabridged)","B09ZVK42N4","iPhone Account Create (1.0 app)","No"
"2024-12-06","2024-12-06","Not Available","D01-5019390-2502618","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","1.99","1","0.00","0.00","0.00","0.1005","0.20","0.000000","1.4000000","1.99","USD","The Chase (Unabridged)","B07P7WSW79","Tracking ALOP within iOS","Yes"
"2024-12-03","2024-12-03","Not Available","D01-0743402-6112238","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","12.9740000","0.00","USD","Hawke (Unabridged)","B0CQQ7H29X","iPhone Account Create (1.0 app)","Yes"
"2024-11-30","2024-11-30","Not Available","D01-8138528-1968217","Completed","CREDIT","NON-PRE-ORDER","AL","AL","0.00","1","0.00","1.00","14.95","0.0000","0.00","0.000000","13.1101160","0.00","USD","Lights Out: An Into Darkness Novel (Unabridged)","B0D7WG8WD1","iPhone Account Create (1.0 app)","Yes"
"2024-07-12","2024-07-12","Not Available","D01-2325819-1709016","Completed","CREDIT","NON-PRE-ORDER","AL","AL","7.49","1","-7.49","1.00","14.95","0.0000","0.00","0.000000","4.3105818","0.00","USD","A Game of Gods: Hades Saga, Book 3 (Unabridged)","B0C4LXH2V5","iPhone Account Create (1.0 app)","Yes"
"2024-07-06","2024-07-06","Not Available","D01-6476205-2013027","Completed","CREDIT","NON-PRE-ORDER","AL","AL","7.49","1","-7.49","1.00","14.95","0.0000","0.00","0.000000","13.2348000","0.00","USD","Leather & Lark: The Ruinous Love, Book 2 (Unabridged)","B0CQTGW5SS","iPhone Account Create (1.0 app)","Yes"
"2024-05-17","2024-05-17","Not Available","D01-7539734-3283464","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","7.49","1","0.00","0.00","0.00","0.0801","0.60","0.000000","7.4900000","7.49","USD","King of Sloth: Kings of Sin, Book 4 (Unabridged)","B0D26ZKHPC","WfV upsell TYP widget on mobile","Yes"
"2024-05-17","2024-05-17","Not Available","D01-0084439-9933014","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","7.49","1","0.00","0.00","0.00","0.0801","0.60","0.000000","7.4900000","7.49","USD","King of Greed: Kings of Sin, Book 3 (Unabridged)","B0CM6QNNBX","WfV upsell TYP widget on mobile","Yes"
"2024-05-15","2024-05-15","Not Available","D01-2672992-9302633","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","7.49","1","0.00","0.00","0.00","0.1001","0.75","0.000000","5.2500000","7.49","USD","King of Pride: Kings of Sin, Book 2 (Unabridged)","B0C7CZ4LJW","Audible iOS ALC","Yes"
"2024-05-14","2024-05-14","Not Available","D01-1805751-2595445","Completed","CREDIT","NON-PRE-ORDER","AL","AL","7.49","1","-7.49","1.00","14.95","0.0000","0.00","0.000000","12.9740000","0.00","USD","King of Wrath : Kings of Sin (Unabridged)","B0BZQJT6YM","iPhone Account Create (1.0 app)","Yes"
"2024-05-02","2024-05-02","Not Available","D01-9533809-6867416","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","1.99","1","0.00","0.00","0.00","0.0804","0.16","0.000000","1.9900000","1.99","USD","Forever with You (Unabridged)","B00JG5WZ76","Cash AMZ Mobile Web Buy Box 2","Yes"
"2024-05-02","2024-05-02","Not Available","D01-5145693-5846641","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","1.99","1","0.00","0.00","0.00","0.0804","0.16","0.000000","1.9900000","1.99","USD","Hudson (Unabridged)","B00N0XCXCM","WfV upsell TYP widget on mobile","Yes"
"2024-04-30","2024-04-30","Not Available","D01-0154750-8592265","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","1.99","1","0.00","0.00","0.00","0.1005","0.20","0.000000","1.4000000","1.99","USD","Fixed on You (Unabridged)","B00J2ZLLKM","Audible iOS ALC","Yes"
"2024-04-30","2024-04-30","Not Available","D01-8011234-4950647","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","1.99","1","0.00","0.00","0.00","0.0804","0.16","0.000000","1.9900000","1.99","USD","Found in You (Unabridged)","B00JG4DA9Y","WfV upsell TYP widget on mobile","Yes"
"2024-04-18","2024-04-18","Not Available","D01-8763353-3981064","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","1.99","1","0.00","0.00","0.00","0.0804","0.16","0.000000","1.9900000","1.99","USD","My Dark Romeo: Dark Prince Road, Book 1 (Unabridged)","B0BY3CD2VH","HP Kindle TYP Upsell Widget","Yes"
"2024-04-11","2024-04-11","Not Available","D01-1683196-2000205","Completed","CREDIT","NON-PRE-ORDER","AL","AL","19.95","1","-19.95","1.00","14.95","0.0000","0.00","0.000000","10.3740000","0.00","USD","Butcher & Blackbird: The Ruinous Love Trilogy, Book 1 (Unabridged)","B0CK8TTLS8","iPad Default via Mobile Store","No"
"2024-03-20","2024-03-20","Not Available","D01-7402119-6157018","Completed","CREDIT","NON-PRE-ORDER","AL","AL","7.49","1","-7.49","1.00","14.95","0.0000","0.00","0.000000","12.9125000","0.00","USD","One with You: Crossfire, Book 5 (Unabridged)","B01D3ERCKA","iPhone Account Create (1.0 app)","Yes"
"2024-03-19","2024-03-19","Not Available","D01-0642754-1760268","Completed","CREDIT","NON-PRE-ORDER","AL","AL","7.49","1","-7.49","1.00","14.95","0.0000","0.00","0.000000","12.9125000","0.00","USD","Captivated by You: Crossfire, Book 4 (Unabridged)","B00OL7ONK6","iPhone Account Create (1.0 app)","Yes"
"2024-03-18","2024-03-18","Not Available","D01-6842494-5894654","Completed","CREDIT","NON-PRE-ORDER","AL","AL","7.49","1","-7.49","1.00","5.95","0.0000","0.00","0.000000","12.9125000","0.00","USD","Reflected in You: A Crossfire Novel, Book 2 (Unabridged)","B009M8YHCI","iPhone Account Create (1.0 app)","Yes"
"2024-03-18","2024-03-18","Not Available","D01-5287476-8579465","Completed","CASH","NON-PRE-ORDER","ALOP","ALOP","2.33","1","0.00","0.00","0.00","0.1030","0.24","0.000000","1.6400000","2.33","USD","Entwined with You: Crossfire, Book 3 (Unabridged)","B00BR1TWMS","Tracking ALOP within iOS","Yes"
"2024-03-07","2024-03-07","Not Available","D01-6799859-6931406","Completed","CREDIT","NON-PRE-ORDER","AL","AL","7.47","1","-7.47","1.00","5.95","0.0000","0.00","0.000000","15.4691750","0.00","USD","Credence (Unabridged)","B08ML5CZMS","AMN iOS mShop deep link to Aud from PDP (member)","Yes"
"2024-03-01","2024-03-01","Not Available","D01-6920865-6870621","Completed","CREDIT","NON-PRE-ORDER","AL","AL","7.49","1","-7.49","1.00","5.95","0.0000","0.00","0.000000","11.0995850","0.00","USD","Twisted Hate: Twisted, Book 3 (Unabridged)","B0B6GRLKR1","Credit AMZ Mobile Web Buy Box 2","Yes"
"2023-10-09","2023-10-09","Not Available","D01-9262251-1949017","Completed","CREDIT","NON-PRE-ORDER","AL","AL","16.72","1","-16.72","1.00","5.95","0.0000","0.00","0.000000","8.6977440","0.00","USD","Killers of the Flower Moon: The Osage Murders and the Birth of the FBI (Unabridged)","B01NAEEJJV","Holiday Promo 2023 | Amazon | PDP Buy Box","No"
