"Product Name","ASIN","Resource Type","Our Price","Ownership Type","Relationship Status","Sortable Title","Sortable Author Name","Series Author","Series Title","Relation Type","Position In Collection","Ordered","Marketplace","Relationship Creation Date","Created At","Deleted By Customer"
"It's Different This Time: A Novel","B0DXPCCDPR","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-09-24T00:00:00Z","2025-10-16T06:59:59Z","Not Available"
"Mate","0593955013","ITEM","18 USD","Not Interested","Not Available","Mate","Hazelwood, Ali","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-09-22T00:00:00Z","2025-10-13T06:59:59Z","Not Available"
"Mate","0593955013","ITEM","18 USD","Not Interested","Not Available","Mate","Hazelwood, Ali","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-09-22T00:00:00Z","2025-10-13T06:59:59Z","Not Available"
"Emily Wilde's Encyclopaedia of Faeries","B09VXFLR23","ITEM","13 USD","Item Owner","Terminated","Emily Wilde's Encyclopaedia of Faeries","Fawcett, Heather","Fawcett, Heather B0BG2YL8NY","Emily Wilde B0BG2YL8NY","PRIMARY",1,"Not Available","www.amazon.com","2025-06-13T16:58:34Z","2025-10-07T23:56:41Z","Yes"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","ITEM","4 USD","Item Owner","Fulfilled","Scary In Love A spooky spicy Halloween romance","Smith, Holly June","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-10-06T19:27:38Z","2025-10-06T19:27:38Z","Not Available"
"Scary In Love: A spooky, spicy, Halloween romance","B0FHWJ2NJS","ITEM","4 USD","Item Owner","Fulfilled","Scary In Love A spooky spicy Halloween romance","Smith, Holly June","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-10-06T19:27:38Z","2025-10-06T19:27:38Z","Not Available"
"August Lane","B0DCG89SDJ","ITEM","15 USD","Item Owner","Fulfilled","August Lane","Black, Regina","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-10-02T21:26:33Z","2025-10-05T22:34:29Z","No"
"August Lane","B0DCG89SDJ","ITEM","15 USD","Item Owner","Fulfilled","August Lane","Black, Regina","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-10-02T21:26:33Z","2025-10-05T22:34:29Z","No"
"Not in My Book: A Novel","B0CWPBWTCY","ITEM","15 USD","Item Owner","Terminated","Not in My Book A Novel","Holt, Katie","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-09-14T02:29:18Z","2025-10-05T06:30:56Z","Yes"
"August Lane","B0DMB6PKTM","ITEM","0 USD","Item Owner","Closed","August Lane","Black, Regina","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-10-04T06:06:30Z","2025-10-04T06:06:30Z","Not Available"
"August Lane","B0DMB6PKTM","ITEM","0 USD","Item Owner","Closed","August Lane","Black, Regina","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-10-04T06:06:30Z","2025-10-04T06:06:30Z","Not Available"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","ITEM","0 USD","Item Owner","Closed","Tourist Season The Seasons of Carnage Trilogy Book 1","Weaver, Brynne","Weaver, Brynne B0FLD6SVSV","Seasons of Carnage Trilogy, The B0FLD6SVSV","PRIMARY",1,"Not Available","www.amazon.com","2025-10-02T23:54:28Z","2025-10-02T23:54:28Z","Not Available"
"Tourist Season: The Seasons of Carnage Trilogy, Book 1","B0FHQTGQKL","ITEM","0 USD","Item Owner","Closed","Tourist Season The Seasons of Carnage Trilogy Book 1","Weaver, Brynne","Weaver, Brynne B0FLD6SVSV","Seasons of Carnage Trilogy, The B0FLD6SVSV","PRIMARY",1,"Not Available","www.amazon.com","2025-10-02T23:54:28Z","2025-10-02T23:54:28Z","Not Available"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","ITEM","5 USD","Item Owner","Fulfilled","He's Not My Type The Agitators Series Book 4","Quinn, Meghan","Quinn, Meghan B0CY5XC7RR","Agitators Series, The B0CY5XC7RR","PRIMARY",4,"Not Available","www.amazon.com","2025-09-30T21:43:40Z","2025-09-30T21:43:40Z","Not Available"
"He's Not My Type (The Agitators Series Book 4)","B0CFDCMPVC","ITEM","5 USD","Item Owner","Fulfilled","He's Not My Type The Agitators Series Book 4","Quinn, Meghan","Quinn, Meghan B0CY5XC7RR","Agitators Series, The B0CY5XC7RR","PRIMARY",4,"Not Available","www.amazon.com","2025-09-30T21:43:40Z","2025-09-30T21:43:40Z","Not Available"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","ITEM","5 USD","Item Owner","Fulfilled","Right Man Right Time The Agitators Series Book 3","Quinn, Meghan","Quinn, Meghan B0CY5XC7RR","Agitators Series, The B0CY5XC7RR","PRIMARY",3,"Not Available","www.amazon.com","2025-09-29T13:29:38Z","2025-09-29T13:29:38Z","Not Available"
"Right Man, Right Time (The Agitators Series Book 3)","B0BSG1XDTR","ITEM","5 USD","Item Owner","Fulfilled","Right Man Right Time The Agitators Series Book 3","Quinn, Meghan","Quinn, Meghan B0CY5XC7RR","Agitators Series, The B0CY5XC7RR","PRIMARY",3,"Not Available","www.amazon.com","2025-09-29T13:29:38Z","2025-09-29T13:29:38Z","Not Available"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","ITEM","5 USD","Item Owner","Fulfilled","Those Three Little Words The Agitators Series Book 2","Quinn, Meghan","Quinn, Meghan B0CY5XC7RR","Agitators Series, The B0CY5XC7RR","PRIMARY",2,"Not Available","www.amazon.com","2025-09-28T15:44:30Z","2025-09-28T15:44:31Z","Not Available"
"Those Three Little Words (The Agitators Series Book 2)","B09QD52KWF","ITEM","5 USD","Item Owner","Fulfilled","Those Three Little Words The Agitators Series Book 2","Quinn, Meghan","Quinn, Meghan B0CY5XC7RR","Agitators Series, The B0CY5XC7RR","PRIMARY",2,"Not Available","www.amazon.com","2025-09-28T15:44:30Z","2025-09-28T15:44:31Z","Not Available"
"The Love of My Next Life: Next Life Duet Book 1","B0B7B2G4TD","ITEM","5 USD","Item Owner","Terminated","Love of My Next Life Next Life Duet Book 1, The","Benson , Brit","Benson , Brit B0BCZG7NGS","Next Life B0BCZG7NGS","PRIMARY",1,"Not Available","www.amazon.com","2024-08-02T00:00:00Z","2025-09-28T15:44:30Z","Yes"
"For Wrath and Redemption: An enemies to lovers, rockstar romance (The Hometown Heartless)","B0DPX5M3BH","ITEM","5 USD","Item Owner","Terminated","For Wrath and Redemption An enemies to lovers rockstar romance The Hometown Heartless","Benson , Brit","Benson, Brit B0C8H7JW2K","Hometown Heartless, The B0C8H7JW2K","PRIMARY",3,"Not Available","www.amazon.com","2025-08-31T16:25:24Z","2025-09-28T15:44:30Z","Yes"
"Pucking Strong: An MM Workplace Hockey Romance (Jacksonville Rays Book 4)","B0DXVVG8LM","ITEM","6 USD","Item Owner","Terminated","Pucking Strong An MM Workplace Hockey Romance Jacksonville Rays Book 4","Rath, Emily","Rath, Emily B0BPZN83ZS","Jacksonville Rays B0BPZN83ZS","PRIMARY",4,"Not Available","www.amazon.com","2025-09-17T02:57:09Z","2025-09-28T15:44:30Z","Yes"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","ITEM","5 USD","Item Owner","Terminated","Kiss and Don't Tell The Agitators Series Book 1","Quinn, Meghan","Quinn, Meghan B0CY5XC7RR","Agitators Series, The B0CY5XC7RR","PRIMARY",1,"Not Available","www.amazon.com","2025-09-27T17:09:10Z","2025-09-28T15:44:30Z","Yes"
"Kiss and Don't Tell (The Agitators Series Book 1)","B09DLCLRK4","ITEM","5 USD","Item Owner","Terminated","Kiss and Don't Tell The Agitators Series Book 1","Quinn, Meghan","Quinn, Meghan B0CY5XC7RR","Agitators Series, The B0CY5XC7RR","PRIMARY",1,"Not Available","www.amazon.com","2025-09-27T17:09:10Z","2025-09-28T15:44:30Z","Yes"
"The Good Girl Effect (Salacious Legacy Book 1)","B0DSRPZ7NY","ITEM","6 USD","Item Owner","Terminated","Good Girl Effect Salacious Legacy Book 1, The","Cate, Sara","Cate, Sara B0DSRZQ8F9","Salacious Legacy B0DSRZQ8F9","PRIMARY",1,"Not Available","www.amazon.com","2025-09-15T01:37:49Z","2025-09-28T15:44:29Z","Yes"
"The Soulmate Equation","B08LDYBGJD","ITEM","10 USD","Item Owner","Terminated","Soulmate Equation, The","Lauren, Christina","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-09-25T16:59:28Z","2025-09-28T15:44:29Z","Yes"
"The Soulmate Equation","B08LDYBGJD","ITEM","10 USD","Item Owner","Terminated","Soulmate Equation, The","Lauren, Christina","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-09-25T16:59:28Z","2025-09-28T15:44:29Z","Yes"
"Failure to Match","B0FSK2XC4Z","ITEM","Not Available","Not Interested","Not Available","Failure to Match","Parsi, Kyra","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2024-03-28T00:00:00Z","2025-09-26T06:59:59Z","Not Available"
"Two Can Play","B0DGYFBMQC","ITEM","0 USD","Not Interested","Not Available","Two Can Play","Hazelwood, Ali","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-09-22T00:00:00Z","2025-09-24T06:59:59Z","Not Available"
"Bride","B0C9GQV1TT","ITEM","13 USD","Not Interested","Not Available","Bride","Hazelwood, Ali","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-09-22T00:00:00Z","2025-09-24T06:59:59Z","Not Available"
"Two Can Play","B0DGYFBMQC","ITEM","0 USD","Not Interested","Not Available","Two Can Play","Hazelwood, Ali","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-09-22T00:00:00Z","2025-09-24T06:59:59Z","Not Available"
"Bride","B0C9GQV1TT","ITEM","13 USD","Not Interested","Not Available","Bride","Hazelwood, Ali","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-09-22T00:00:00Z","2025-09-24T06:59:59Z","Not Available"
"Daisy Haites: The Great Undoing (The Magnolia Parks Universe Book 4)","B0C6NNZSVQ","ITEM","13 USD","Item Owner","Terminated","Daisy Haites The Great Undoing The Magnolia Parks Universe Book 4","Hastings, Jessa","Hastings, Jessa B0C7XFKJ8D","Magnolia Parks Universe, The B0C7XFKJ8D","PRIMARY",4,"Not Available","www.amazon.com","2025-09-02T05:04:17Z","2025-09-23T09:08:59Z","Yes"
"Daisy Haites (The Magnolia Parks Universe Book 2)","B0C6NMBN7H","ITEM","13 USD","Item Owner","Terminated","Daisy Haites The Magnolia Parks Universe Book 2","Hastings, Jessa","Hastings, Jessa B0C7XFKJ8D","Magnolia Parks Universe, The B0C7XFKJ8D","PRIMARY",2,"Not Available","www.amazon.com","2025-09-02T05:03:13Z","2025-09-23T09:03:17Z","Yes"
"Fight Right: How Successful Couples Turn Conflict Into Connection","B0C3ZJRBNL","Not Available","Not Available","Item Owner","Terminated","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-09-06T16:05:45Z","2025-09-21T18:44:22Z","Yes"
"Magnolia Parks (The Magnolia Parks Universe Book 1)","B0C6NBLBL2","ITEM","11 USD","Item Owner","Terminated","Magnolia Parks The Magnolia Parks Universe Book 1","Hastings, Jessa","Hastings, Jessa B0C7XFKJ8D","Magnolia Parks Universe, The B0C7XFKJ8D","PRIMARY",1,"Not Available","www.amazon.com","2025-09-01T13:56:00Z","2025-09-19T16:23:30Z","Yes"
"Love & Other Killers","B0FJ2Y7R1K","ITEM","1 USD","Item Owner","Terminated","Love Other Killers","Weaver, Brynne","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-08-18T14:55:43Z","2025-09-17T02:57:12Z","Yes"
"Wild Card","B0DWSZPM62","ITEM","6 USD","Item Owner","Terminated","Wild Card","Silver, Elsie","Silver, Elsie B0CTHQF3CB","Rose Hill B0CTHQF3CB","PRIMARY",4,"Not Available","www.amazon.com","2025-09-14T01:43:23Z","2025-09-17T02:57:09Z","Yes"
"Love & Other Killers","B0FBMM3SCD","ITEM","2 USD","Item Owner","Terminated","Love Other Killers","Weaver, Brynne","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-08-18T14:55:40Z","2025-09-17T02:57:08Z","Yes"
"Wild Side","B0DD1VWZ4Z","ITEM","6 USD","Item Owner","Terminated","Wild Side","Silver, Elsie","Silver, Elsie B0CTHQF3CB","Rose Hill B0CTHQF3CB","PRIMARY",3,"Not Available","www.amazon.com","2025-02-07T00:00:00Z","2025-09-17T02:57:08Z","Yes"
"Magnolia Parks: Into the Dark (The Magnolia Parks Universe Book 5)","B0CFX5WT14","ITEM","13 USD","Not Interested","Not Available","Magnolia Parks Into the Dark The Magnolia Parks Universe Book 5","Hastings, Jessa","Hastings, Jessa B0C7XFKJ8D","Magnolia Parks Universe, The B0C7XFKJ8D","PRIMARY",5,"Not Available","www.amazon.com","2025-09-13T00:00:00Z","2025-09-15T06:59:59Z","Not Available"
"The Lion's Den","B07XCSPBKR","ITEM","10 USD","Item Owner","Terminated","Lion's Den, The","St John, Katherine","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-06-24T22:45:55Z","2025-09-14T03:14:01Z","Yes"
"The Finish Line (The Ravenhood Book 3)","B0D7F96JNZ","ITEM","9 USD","Item Owner","Terminated","Finish Line The Ravenhood Book 3, The","Stewart, Kate","Stewart , Kate B0CJKJLF5F","Ravenhood, The B0CJKJLF5F","PRIMARY",3,"Not Available","www.amazon.com","2025-04-17T10:50:18Z","2025-09-14T03:14:01Z","Yes"
"The Favorites: A Novel","B0D1QKJLYT","ITEM","13 USD","Item Owner","Terminated","Favorites A Novel, The","Fargo, Layne","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-08-20T11:24:03Z","2025-09-10T15:27:55Z","Yes"
"Not Available","B0B6D9FY3V","Not Available","Not Available","Not Interested","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-09-07T00:00:00Z","2025-09-09T06:59:59Z","Not Available"
"Say You'll Remember Me","B0DC66QD8K","ITEM","13 USD","Item Owner","Terminated","Say You'll Remember Me","Jimenez, Abby","Jimenez, Abby B0FCWZRWLV","Platinum Fiction Series B0FCWZRWLV","PRIMARY",1,"Not Available","www.amazon.com","2025-08-15T18:23:42Z","2025-09-05T22:28:01Z","Yes"
"The Book of Azrael (Gods & Monsters 1)","B0BGT7SZPT","ITEM","3 USD","Item Owner","Terminated","Book of Azrael Gods Monsters 1, The","Nicole, Amber V","Nicole, Amber V B0B7VPVC8M","Gods Monsters B0B7VPVC8M","PRIMARY",1,"Not Available","www.amazon.com","2025-03-19T00:00:00Z","2025-08-31T16:43:48Z","Yes"
"Him","B011LSLI9G","ITEM","6 USD","Item Owner","Terminated","Him","Bowen, Sarina","Bowen, Sarina B074CF7K3L","Him B074CF7K3L","PRIMARY",1,"Not Available","www.amazon.com","2025-03-07T03:53:59Z","2025-08-31T16:43:48Z","Yes"
"Of Heartbreak and Harmony: A fake dating, rockstar romance (The Hometown Heartless)","B0DB2L4TWY","ITEM","5 USD","Item Owner","Terminated","Of Heartbreak and Harmony A fake dating rockstar romance The Hometown Heartless","Benson, Brit","Benson, Brit B0C8H7JW2K","Hometown Heartless, The B0C8H7JW2K","PRIMARY",2,"Not Available","www.amazon.com","2025-08-30T02:55:05Z","2025-08-31T16:25:24Z","Yes"
"Between Never and Forever: A second chance, rockstar romance (The Hometown Heartless)","B0C3C7G6HN","ITEM","5 USD","Item Owner","Terminated","Between Never and Forever A second chance rockstar romance The Hometown Heartless","Benson, Brit","Benson, Brit B0C8H7JW2K","Hometown Heartless, The B0C8H7JW2K","PRIMARY",1,"Not Available","www.amazon.com","2025-08-27T20:27:28Z","2025-08-30T02:55:05Z","Yes"
"Daisy Jones & The Six: Reese's Book Club: A Novel","B07DMZ5YR9","ITEM","13 USD","Item Owner","Terminated","Daisy Jones The Six Reese's Book Club A Novel","Reid, Taylor Jenkins","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-08-07T12:22:45Z","2025-08-28T16:18:47Z","Yes"
"We'll Always Have Summer (Summer I Turned Pretty Book 3)","B003VPWY64","ITEM","10 USD","Item Owner","Terminated","We'll Always Have Summer Summer I Turned Pretty Book 3","Han, Jenny","Han, Jenny B074CK23N6","Summer series B074CK23N6","PRIMARY",3,"Not Available","www.amazon.com","2025-08-26T17:12:25Z","2025-08-27T20:27:57Z","Yes"
"Love You Better: A friends to lovers romance (Better Love)","B094GCNRBZ","ITEM","3 USD","Item Owner","Fulfilled","Love You Better A friends to lovers romance Better Love","Benson, Brit","Benson, Brit B094HDZ8LQ","Better Love B094HDZ8LQ","PRIMARY",1,"Not Available","www.amazon.com","2025-08-27T20:27:56Z","2025-08-27T20:27:57Z","Not Available"
"The Summer I Turned Pretty","B004CLYLCG","ITEM","10 USD","Item Owner","Terminated","Summer I Turned Pretty, The","Han, Jenny","Han, Jenny B074CK23N6","Summer series B074CK23N6","PRIMARY",1,"Not Available","www.amazon.com","2025-08-25T00:13:06Z","2025-08-26T17:12:25Z","Yes"
"It's Not Summer Without You (The Summer I Turned Pretty Book 2)","B003IYI6TC","ITEM","10 USD","Item Owner","Terminated","It's Not Summer Without You The Summer I Turned Pretty Book 2","Han, Jenny","Han, Jenny B074CK23N6","Summer series B074CK23N6","PRIMARY",2,"Not Available","www.amazon.com","2025-08-25T20:00:19Z","2025-08-26T17:12:24Z","Yes"
"Exodus (The Ravenhood Book 2)","B0CZP7QV5D","ITEM","7 USD","Item Owner","Terminated","Exodus The Ravenhood Book 2","Stewart, Kate","Stewart , Kate B0CJKJLF5F","Ravenhood, The B0CJKJLF5F","PRIMARY",2,"Not Available","www.amazon.com","2025-04-15T00:00:00Z","2025-08-25T00:13:06Z","Yes"
"Flock (The Ravenhood Book 1)","B0CW1J839S","ITEM","7 USD","Item Owner","Terminated","Flock The Ravenhood Book 1","Stewart, Kate","Stewart , Kate B0CJKJLF5F","Ravenhood, The B0CJKJLF5F","PRIMARY",1,"Not Available","www.amazon.com","2025-04-08T18:39:16Z","2025-08-25T00:13:06Z","Yes"
"Unsteady: A Novel","B0CQKGZL6K","ITEM","10 USD","Item Owner","Terminated","Unsteady A Novel","Corinne, Peyton","Corinne, Peyton B0DCBX82QB","Undone, The B0DCBX82QB","PRIMARY",1,"Not Available","www.amazon.com","2025-08-01T03:08:30Z","2025-08-22T07:11:56Z","Yes"
"Retreat: A Novel","B0D7ZVQG2N","ITEM","15 USD","Item Owner","Closed","Retreat A Novel","Ritter, Krysten","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-08-20T19:51:52Z","2025-08-20T19:51:52Z","Not Available"
"Daisy Jones & The Six: A Novel","B07K8WGT23","ITEM","0 USD","Item Owner","Closed","Daisy Jones The Six A Novel","Reid, Taylor Jenkins","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-08-18T20:02:49Z","2025-08-18T20:02:49Z","Not Available"
"Hide and Sneak: An Enemies-to-lovers, Brother's Best Friend Romance (Happy Haven Book 3)","B0FK78LV2K","ITEM","5 USD","Item Owner","Terminated","Hide and Sneak An Enemies to lovers Brother's Best Friend Romance Happy Haven Book 3","Shade, S M","Shade, S M B0CD4TMXWH","Happy Haven B0CD4TMXWH","PRIMARY",3,"Not Available","www.amazon.com","2025-08-05T01:06:29Z","2025-08-18T14:55:40Z","Yes"
"Severed Heart (Ravenhood Legacy)","1496757017","ITEM","15 USD","Not Interested","Not Available","Severed Heart Ravenhood Legacy","STEWART, KATE","Stewart, Kate B0DTHN2CY9","Ravenhood Legacy B0DTHN2CY9","PRIMARY",2,"Not Available","www.amazon.com","2025-07-02T00:00:00Z","2025-08-18T06:59:59Z","Not Available"
"One Last Rainy Day (Ravenhood Legacy)","1496754646","ITEM","11 USD","Not Interested","Not Available","One Last Rainy Day Ravenhood Legacy","STEWART, KATE","Stewart, Kate B0DTHN2CY9","Ravenhood Legacy B0DTHN2CY9","PRIMARY",1,"Not Available","www.amazon.com","2025-07-02T00:00:00Z","2025-08-18T06:59:59Z","Not Available"
"The Finish Line (The Ravenhood)","1496754638","ITEM","14 USD","Not Interested","Not Available","Finish Line The Ravenhood, The","STEWART, KATE","Stewart , Kate B0CJKJLF5F","Ravenhood, The B0CJKJLF5F","PRIMARY",3,"Not Available","www.amazon.com","2025-07-02T00:00:00Z","2025-08-18T06:59:59Z","Not Available"
"The Dead Romantics: A GMA Book Club Pick","B09HTD8KQD","ITEM","9 USD","Item Owner","Terminated","Dead Romantics A GMA Book Club Pick, The","Poston, Ashley","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-25T03:31:21Z","2025-08-15T07:32:29Z","Yes"
"The Devious Husband: Sierra and Xavier's Story (The Windsors)","B0CTXVHQW6","ITEM","6 USD","Item Owner","Terminated","Devious Husband Sierra and Xavier's Story The Windsors, The","Maura, Catharina","Maura, Catharina B0BJF382PV","Windsors, The B0BJF382PV","PRIMARY",6,"Not Available","www.amazon.com","2025-07-22T13:17:16Z","2025-08-05T01:06:28Z","Yes"
"The Love Haters: A Novel","1250283825","ITEM","14 USD","Not Interested","Not Available","Love Haters A Novel, The","Center, Katherine","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-02-07T00:00:00Z","2025-07-29T06:59:59Z","Not Available"
"Unhinged: A Dark Why-Choose Romance (Dance with My Demons, Book 1)","B0F8C96GTL","ITEM","0 USD","Item Owner","Closed","Unhinged A Dark Why Choose Romance Dance with My Demons Book 1","Macca, Steph","Macca, Steph B0CW1914S7","Dance with my Demons B0CW1914S7","PRIMARY",1,"Not Available","www.amazon.com","2025-07-26T22:51:44Z","2025-07-26T22:51:44Z","Not Available"
"My Oxford Year: A Novel","B071VBHT9W","ITEM","14 USD","Item Owner","Fulfilled","My Oxford Year A Novel","Whelan, Julia","Not Available","Not Available","SELF","Not Available","Not Available","www.amazon.com","2025-07-26T20:26:08Z","2025-07-26T20:26:08Z","Not Available"
"The Broken Vows: Zane and Celeste's Story (The Windsors)","B0C4GRKJTF","ITEM","6 USD","Item Owner","Terminated","Broken Vows Zane and Celeste's Story The Windsors, The","Maura, Catharina","Maura, Catharina B0BJF382PV","Windsors, The B0BJF382PV","PRIMARY",4,"Not Available","www.amazon.com","2025-07-19T14:15:40Z","2025-07-22T13:17:16Z","Yes"
"The Secret Fiancée: Lexington and Raya's Story (The Windsors)","B0CJDPTB3V","ITEM","6 USD","Item Owner","Terminated","Secret Fiancée Lexington and Raya's Story The Windsors, The","Maura, Catharina","Maura, Catharina B0BJF382PV","Windsors, The B0BJF382PV","PRIMARY",5,"Not Available","www.amazon.com","2025-07-20T22:01:55Z","2025-07-22T13:17:16Z","Yes"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.com","2025-07-20T02:43:16Z","2025-07-20T02:43:16Z","Not Available"
"Not Available","Not Available","Not Available","Not Available","Customer Metadata","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","www.amazon.ca","2025-07-20T02:43:16Z","2025-07-20T02:43:16Z","Not Available"
"The Unwanted Marriage: Dion and Faye's Story (The Windsors)","B0BT9W3ZS2","ITEM","6 USD","Item Owner","Terminated","Unwanted Marriage Dion and Faye's Story The Windsors, The","Maura, Catharina","Maura, Catharina B0BJF382PV","Windsors, The B0BJF382PV","PRIMARY",3,"Not Available","www.amazon.com","2025-07-18T11:02:23Z","2025-07-19T14:15:40Z","Yes"
"The Temporary Wife: Luca and Valentina's Story (The Windsors)","B0BHN8JB7C","ITEM","6 USD","Item Owner","Terminated","Temporary Wife Luca and Valentina's Story The Windsors, The","Maura, Catharina","Maura, Catharina B0BJF382PV","Windsors, The B0BJF382PV","PRIMARY",2,"Not Available","www.amazon.com","2025-07-17T06:17:51Z","2025-07-19T14:15:40Z","Yes"
